Number,Deviate,Gauged_value
    1, -0.107389E+01,  0.533000E+01
    2, -0.665730E+00,  0.701000E+01
    3, -0.378712E+00,  0.879000E+01
    4, -0.126615E+00,  0.107500E+02
    5,  0.116694E+00,  0.125600E+02
    6,  0.366513E+00,  0.172000E+02
    7,  0.637062E+00,  0.174400E+02
    8,  0.947354E+00,  0.182600E+02
    9,  0.133123E+01,  0.199900E+02
   10,  0.186982E+01,  0.253000E+02
   11,  0.289934E+01,  0.329700E+02
Number,Deviate,Expected_par_quantile,Lower_90%_probabilty_limit,Upper_90%_probability_limit
    1, -0.152934E+01,  0.273000E+01,  0.580000E+00,  0.560000E+01
    2, -0.874591E+00,  0.573000E+01,  0.287000E+01,  0.902000E+01
    3, -0.475885E+00,  0.810000E+01,  0.504000E+01,  0.120000E+02
    4, -0.940478E-01,  0.106900E+02,  0.729000E+01,  0.153600E+02
    5,  0.165703E+00,  0.126000E+02,  0.887000E+01,  0.179300E+02
    6,  0.366513E+00,  0.141500E+02,  0.101500E+02,  0.200800E+02
    7,  0.902720E+00,  0.185300E+02,  0.134900E+02,  0.264200E+02
    8,  0.149994E+01,  0.237300E+02,  0.172400E+02,  0.353400E+02
    9,  0.225037E+01,  0.306100E+02,  0.217700E+02,  0.508500E+02
   10,  0.297020E+01,  0.374600E+02,  0.258700E+02,  0.734900E+02
   11,  0.390194E+01,  0.466300E+02,  0.302800E+02,  0.124850E+03
   12,  0.460015E+01,  0.536900E+02,  0.327600E+02,  0.170120E+03
Number,Deviate,Expected_probability_quantitle
    1, -0.136910E+01,  0.273000E+01
    2, -0.837955E+00,  0.573000E+01
    3, -0.475885E+00,  0.810000E+01
    4, -0.940478E-01,  0.106900E+02
    5,  0.156665E+00,  0.126000E+02
    6,  0.351972E+00,  0.141500E+02
    7,  0.877739E+00,  0.185300E+02
    8,  0.146110E+01,  0.237300E+02
    9,  0.219619E+01,  0.306100E+02
   10,  0.286592E+01,  0.374600E+02
   11,  0.353186E+01,  0.466300E+02
