Number,Deviate,Gauged_value
    1, -0.104141E+01,  0.118100E+02
    2, -0.616474E+00,  0.130700E+02
    3, -0.312528E+00,  0.139400E+02
    4, -0.406177E-01,  0.146100E+02
    5,  0.227740E+00,  0.193100E+02
    6,  0.511457E+00,  0.202000E+02
    7,  0.831678E+00,  0.212600E+02
    8,  0.122336E+01,  0.213300E+02
    9,  0.176828E+01,  0.231000E+02
   10,  0.280305E+01,  0.233000E+02
Number,Deviate,Expected_par_quantile,Lower_90%_probabilty_limit,Upper_90%_probability_limit
    1, -0.152934E+01,  0.204000E+01, -0.397100E+02,  0.112900E+02
    2, -0.874591E+00,  0.103900E+02, -0.329000E+01,  0.149000E+02
    3, -0.475885E+00,  0.138900E+02,  0.734000E+01,  0.176400E+02
    4, -0.940478E-01,  0.164400E+02,  0.124400E+02,  0.197000E+02
    5,  0.165703E+00,  0.178300E+02,  0.145000E+02,  0.208500E+02
    6,  0.366513E+00,  0.187400E+02,  0.156900E+02,  0.215700E+02
    7,  0.902720E+00,  0.206300E+02,  0.182100E+02,  0.231100E+02
    8,  0.149994E+01,  0.220500E+02,  0.201900E+02,  0.251900E+02
    9,  0.225037E+01,  0.231700E+02,  0.218700E+02,  0.293100E+02
   10,  0.297020E+01,  0.238100E+02,  0.227700E+02,  0.342300E+02
   11,  0.390194E+01,  0.242900E+02,  0.232400E+02,  0.412600E+02
   12,  0.460015E+01,  0.244800E+02,  0.233600E+02,  0.477600E+02
Number,Deviate,Expected_probability_quantitle
    1, -0.126303E+01,  0.204000E+01
    2, -0.837955E+00,  0.103900E+02
    3, -0.456276E+00,  0.138900E+02
    4, -0.940478E-01,  0.164400E+02
    5,  0.147535E+00,  0.178300E+02
    6,  0.322186E+00,  0.187400E+02
    7,  0.770842E+00,  0.206300E+02
    8,  0.125742E+01,  0.220500E+02
    9,  0.189424E+01,  0.231700E+02
   10,  0.251311E+01,  0.238100E+02
