ARI,flow_rate,lower_5,upper_95,diff_perc_lower,diff_perc_upper
1.01,2.0,-13.48,5.47,-674.0,273.5
1.1,5.66,-2.03,8.65,-35.865724381625434,152.8268551236749
1.25,8.19,3.31,11.86,40.41514041514042,144.8107448107448
1.5,10.87,6.5,15.71,59.797608095676175,144.52621895124196
1.75,12.84,8.24,18.53,64.17445482866043,144.31464174454828
2.0,14.45,9.56,20.91,66.15916955017302,144.7058823529412
3.0,19.16,12.97,29.3,67.69311064718163,152.92275574112736
5.0,25.2,17.07,46.87,67.73809523809524,185.9920634920635
10.0,34.17,22.11,95.17,64.70588235294117,278.5191688615745
20.0,44.47,26.13,191.62,58.758713739599735,430.89723409039806
50.0,60.84,30.38,485.0,49.93425378040762,797.1729125575279
100.0,75.83,32.57,1006.44,42.95133852037452,1327.2319662402742
