ARI,flow_rate,lower_5,upper_95,diff_perc_lower,diff_perc_upper
1.01,4.39,1.37,6.22,31.207289293849662,141.6856492027335
1.1,7.99,6.1,9.48,76.34543178973716,118.64831038798498
1.25,10.34,8.65,11.96,83.65570599613153,115.66731141199226
1.5,12.71,10.89,14.57,85.68056648308418,114.6341463414634
1.75,14.39,12.42,16.49,86.30993745656706,114.59346768589296
2.0,15.73,13.61,18.05,86.52256834075015,114.7488874761602
3.0,19.49,16.89,22.67,86.65982555156491,116.31605951770139
5.0,23.99,20.71,28.63,86.32763651521468,119.3413922467695
10.0,30.18,25.35,38.45,83.99602385685884,127.40225314778
20.0,36.72,29.83,50.66,81.2363834422658,137.96296296296296
50.0,46.16,35.41,72.79,76.71143847487001,157.69064124783367
100.0,54.03,39.17,95.0,72.49676105867111,175.82824356838793
