ARI,flow_rate,lower_5,upper_95,diff_perc_lower,diff_perc_upper
1.01,8.07,3.43,11.87,42.50309789343247,147.08798017348204
1.1,11.81,8.09,14.94,68.5012701100762,126.50296359017781
1.25,14.0,10.78,17.08,77.0,121.99999999999999
1.5,15.97,12.94,19.08,81.0269254852849,119.47401377582966
1.75,17.24,14.27,20.46,82.77262180974479,118.67749419953597
2.0,18.18,15.24,21.53,83.82838283828383,118.42684268426842
3.0,20.5,17.43,25.09,85.02439024390245,122.39024390243902
5.0,22.8,19.42,30.03,85.17543859649123,131.71052631578948
10.0,25.34,21.39,36.35,84.41199684293608,143.44909234411998
20.0,27.47,22.91,45.25,83.40007280669822,164.72515471423372
50.0,29.88,24.24,59.21,81.12449799196787,198.15930388219545
100.0,31.49,24.88,76.14,79.00920927278501,241.7910447761194
