,,ARI,flow_rate,lower_5,upper_95,diff_perc_lower,diff_perc_upper
GEV,full_data,10.0,30.18,25.35,38.45,83.99602385685884,127.40225314778
GEV,full_data,20.0,36.72,29.83,50.66,81.2363834422658,137.96296296296296
GEV,full_data,50.0,46.16,35.41,72.79,76.71143847487001,157.69064124783367
GEV,full_data,100.0,54.03,39.17,95.0,72.49676105867111,175.82824356838793
GEV,data_case_2_0_1960_1969,10.0,34.17,22.11,95.17,64.70588235294117,278.5191688615745
GEV,data_case_2_0_1960_1969,20.0,44.47,26.13,191.62,58.758713739599735,430.89723409039806
GEV,data_case_2_0_1960_1969,50.0,60.84,30.38,485.0,49.93425378040762,797.1729125575279
GEV,data_case_2_0_1960_1969,100.0,75.83,32.57,1006.44,42.95133852037452,1327.2319662402742
GEV,data_case_2_1_1970_1979,10.0,44.1,24.6,224.15,55.78231292517007,508.2766439909297
GEV,data_case_2_1_1970_1979,20.0,69.3,30.42,703.63,43.896103896103895,1015.3391053391053
GEV,data_case_2_1_1970_1979,50.0,130.59,38.37,3625.46,29.382035377900294,2776.21563672563
GEV,data_case_2_1_1970_1979,100.0,214.74,41.47,12921.54,19.311725807953803,6017.295333892148
GEV,data_case_2_2_1980_1989,10.0,23.5,20.26,36.16,86.21276595744682,153.8723404255319
GEV,data_case_2_2_1980_1989,20.0,25.74,21.86,57.04,84.92618492618493,221.60062160062162
GEV,data_case_2_2_1980_1989,50.0,28.4,22.99,110.15,80.95070422535211,387.8521126760564
GEV,data_case_2_2_1980_1989,100.0,30.23,23.23,210.81,76.84419450876612,697.3536222295733
