,,ARI,flow_rate,lower_5,upper_95,diff_perc_lower,diff_perc_upper
LP3,full_data,10.0,30.25,25.51,37.66,84.3305785123967,124.49586776859502
LP3,full_data,20.0,36.43,29.81,48.1,81.82816360142739,132.03403788086743
LP3,full_data,50.0,44.88,34.93,65.3,77.82976827094474,145.49910873440285
LP3,full_data,100.0,51.57,38.69,81.23,75.02423889858444,157.51405856117898
LP3,data_case_3_0_1961_1970,10.0,31.85,22.52,52.27,70.70643642072213,164.11302982731553
LP3,data_case_3_0_1961_1970,20.0,39.07,26.41,78.02,67.59662144868186,199.69285897107756
LP3,data_case_3_0_1961_1970,50.0,48.66,30.54,127.54,62.76202219482121,262.10439786272093
LP3,data_case_3_0_1961_1970,100.0,55.97,32.85,180.98,58.69215651241737,323.35179560478826
LP3,data_case_3_1_1971_1980,10.0,35.03,24.14,68.11,68.91236083357123,194.43334284898657
LP3,data_case_3_1_1971_1980,20.0,45.15,28.59,113.76,63.32225913621263,251.96013289036546
LP3,data_case_3_1_1971_1980,50.0,61.96,34.41,233.99,55.53582956746287,377.6468689477082
LP3,data_case_3_1_1971_1980,100.0,77.97,38.65,400.88,49.57034756957805,514.146466589714
LP3,data_case_3_2_1981_1990,10.0,25.34,21.39,36.35,84.41199684293608,143.44909234411998
LP3,data_case_3_2_1981_1990,20.0,27.47,22.91,45.25,83.40007280669822,164.72515471423372
LP3,data_case_3_2_1981_1990,50.0,29.88,24.24,59.21,81.12449799196787,198.15930388219545
LP3,data_case_3_2_1981_1990,100.0,31.49,24.88,76.14,79.00920927278501,241.7910447761194
