ARI,flow_rate,lower_5,upper_95,diff_perc_lower,diff_perc_upper
1.01,8.42,-11.55,11.74,-137.17339667458432,139.42992874109262
1.1,11.48,3.66,13.75,31.881533101045296,119.77351916376305
1.25,13.25,9.24,15.77,69.73584905660377,119.01886792452831
1.5,14.87,12.13,17.94,81.57363819771352,120.64559515803634
1.75,15.94,13.17,19.34,82.62233375156839,121.32998745294856
2.0,16.74,13.88,20.3,82.91517323775389,121.26642771804063
3.0,18.8,15.78,22.14,83.93617021276596,117.7659574468085
5.0,20.97,17.85,25.2,85.12160228898428,120.1716738197425
10.0,23.5,20.26,36.16,86.21276595744682,153.8723404255319
20.0,25.74,21.86,57.04,84.92618492618493,221.60062160062162
50.0,28.4,22.99,110.15,80.95070422535211,387.8521126760564
100.0,30.23,23.23,210.81,76.84419450876612,697.3536222295733
