ARI,flow_rate,lower_5,upper_95,diff_perc_lower,diff_perc_upper
1.01,9.41,5.49,11.45,58.34218916046758,121.67906482465462
1.1,11.37,8.94,13.24,78.62796833773088,116.4467897977133
1.25,13.01,10.74,15.35,82.55188316679478,117.98616448885473
1.5,14.9,12.25,18.01,82.21476510067114,120.87248322147653
1.75,16.37,13.37,20.21,81.67379352474038,123.4575442883323
2.0,17.62,14.2,22.09,80.59023836549375,125.36889897843359
3.0,21.41,16.73,28.69,78.14105558150396,134.0028024287716
5.0,26.48,19.73,39.6,74.50906344410876,149.54682779456192
10.0,34.29,23.61,61.19,68.85389326334209,178.4485272674249
20.0,43.5,27.67,99.48,63.60919540229885,228.68965517241378
50.0,58.45,33.06,180.73,56.56116338751069,309.2044482463644
100.0,72.36,37.05,286.76,51.202321724709776,396.2962962962963
