ARI,flow_rate,lower_5,upper_95,diff_perc_lower,diff_perc_upper
1.01,4.68,3.01,6.22,64.31623931623932,132.9059829059829
1.1,7.86,6.29,9.32,80.02544529262086,118.57506361323155
1.25,10.14,8.56,11.76,84.41814595660749,115.97633136094674
1.5,12.54,10.75,14.51,85.725677830941,115.70972886762361
1.75,14.28,12.31,16.51,86.20448179271709,115.61624649859947
2.0,15.66,13.56,18.14,86.59003831417624,115.83652618135376
3.0,19.55,16.88,22.74,86.34271099744245,116.31713554987212
5.0,24.14,20.68,28.55,85.66694283347141,118.26843413421706
10.0,30.25,25.51,37.66,84.3305785123967,124.49586776859502
20.0,36.43,29.81,48.1,81.82816360142739,132.03403788086743
50.0,44.88,34.93,65.3,77.82976827094474,145.49910873440285
100.0,51.57,38.69,81.23,75.02423889858444,157.51405856117898
