,,ARI,flow_rate,lower_5,upper_95,diff_perc_lower,diff_perc_upper
GEV,full_data,10.0,30.18,25.35,38.45,83.99602385685884,127.40225314778
GEV,full_data,20.0,36.72,29.83,50.66,81.2363834422658,137.96296296296296
GEV,full_data,50.0,46.16,35.41,72.79,76.71143847487001,157.69064124783367
GEV,full_data,100.0,54.03,39.17,95.0,72.49676105867111,175.82824356838793
GEV,data_case_1_0_1960_1970,10.0,31.51,22.16,69.44,70.32688035544271,220.37448429070136
GEV,data_case_1_0_1960_1970,20.0,39.12,26.02,120.31,66.51329243353784,307.54089979550105
GEV,data_case_1_0_1960_1970,50.0,50.06,29.84,260.04,59.60846983619656,519.4566520175789
GEV,data_case_1_0_1960_1970,100.0,59.15,31.92,467.95,53.96449704142012,791.1242603550296
GEV,data_case_1_1_1970_1980,10.0,43.59,23.56,228.64,54.049093828859824,524.5239733883918
GEV,data_case_1_1_1970_1980,20.0,75.03,29.72,856.33,39.61082233773158,1141.3168066106891
GEV,data_case_1_1_1970_1980,50.0,163.94,38.98,4945.85,23.7769915822862,3016.8659265584974
GEV,data_case_1_1_1970_1980,100.0,304.34,47.05,19695.77,15.459683248997832,6471.633699152265
GEV,data_case_1_2_1980_1990,10.0,23.67,21.54,37.18,91.00126742712294,157.07646810308407
GEV,data_case_1_2_1980_1990,20.0,24.92,22.67,48.86,90.97110754414125,196.06741573033707
GEV,data_case_1_2_1980_1990,50.0,26.08,23.3,77.25,89.34049079754602,296.2039877300614
GEV,data_case_1_2_1980_1990,100.0,26.7,23.42,115.31,87.71535580524345,431.87265917602997
