,,ARI,flow_rate,lower_5,upper_95,diff_perc_lower,diff_perc_upper
LP3,full_data,2.0,15.66,13.56,18.14,86.59003831417624,115.83652618135376
LP3,full_data,5.0,24.14,20.68,28.55,85.66694283347141,118.26843413421706
LP3,full_data,10.0,30.25,25.51,37.66,84.3305785123967,124.49586776859502
LP3,full_data,20.0,36.43,29.81,48.1,81.82816360142739,132.03403788086743
LP3,full_data,50.0,44.88,34.93,65.3,77.82976827094474,145.49910873440285
LP3,full_data,100.0,51.57,38.69,81.23,75.02423889858444,157.51405856117898
LP3,data_case_3_0_1961_1970,2.0,14.37,9.9,21.05,68.89352818371609,146.48573416840642
LP3,data_case_3_0_1961_1970,5.0,24.56,17.87,35.51,72.76058631921825,144.58469055374593
LP3,data_case_3_0_1961_1970,10.0,31.85,22.52,52.27,70.70643642072213,164.11302982731553
LP3,data_case_3_0_1961_1970,20.0,39.07,26.41,78.02,67.59662144868186,199.69285897107756
LP3,data_case_3_0_1961_1970,50.0,48.66,30.54,127.54,62.76202219482121,262.10439786272093
LP3,data_case_3_0_1961_1970,100.0,55.97,32.85,180.98,58.69215651241737,323.35179560478826
LP3,data_case_3_1_1971_1980,2.0,17.39,13.96,22.45,80.27602070155261,129.09718228867163
LP3,data_case_3_1_1971_1980,5.0,26.64,19.65,41.21,73.76126126126125,154.69219219219218
LP3,data_case_3_1_1971_1980,10.0,35.03,24.14,68.11,68.91236083357123,194.43334284898657
LP3,data_case_3_1_1971_1980,20.0,45.15,28.59,113.76,63.32225913621263,251.96013289036546
LP3,data_case_3_1_1971_1980,50.0,61.96,34.41,233.99,55.53582956746287,377.6468689477082
LP3,data_case_3_1_1971_1980,100.0,77.97,38.65,400.88,49.57034756957805,514.146466589714
LP3,data_case_3_2_1981_1990,2.0,18.18,15.24,21.53,83.82838283828383,118.42684268426842
LP3,data_case_3_2_1981_1990,5.0,22.8,19.42,30.03,85.17543859649123,131.71052631578948
LP3,data_case_3_2_1981_1990,10.0,25.34,21.39,36.35,84.41199684293608,143.44909234411998
LP3,data_case_3_2_1981_1990,20.0,27.47,22.91,45.25,83.40007280669822,164.72515471423372
LP3,data_case_3_2_1981_1990,50.0,29.88,24.24,59.21,81.12449799196787,198.15930388219545
LP3,data_case_3_2_1981_1990,100.0,31.49,24.88,76.14,79.00920927278501,241.7910447761194
