Number,Deviate,Gauged_value
    1, -0.104141E+01,  0.121400E+02
    2, -0.616474E+00,  0.126100E+02
    3, -0.312528E+00,  0.127400E+02
    4, -0.406177E-01,  0.149400E+02
    5,  0.227740E+00,  0.150700E+02
    6,  0.511457E+00,  0.164600E+02
    7,  0.831678E+00,  0.169600E+02
    8,  0.122336E+01,  0.289100E+02
    9,  0.176828E+01,  0.334500E+02
   10,  0.280305E+01,  0.379700E+02
Number,Deviate,Expected_par_quantile,Lower_90%_probabilty_limit,Upper_90%_probability_limit
    1, -0.152934E+01,  0.117100E+02,  0.410000E+00,  0.542000E+01
    2, -0.874591E+00,  0.124000E+02,  0.235000E+01,  0.911000E+01
    3, -0.475885E+00,  0.131200E+02,  0.453000E+01,  0.124000E+02
    4, -0.940478E-01,  0.141600E+02,  0.696000E+01,  0.159400E+02
    5,  0.165703E+00,  0.151600E+02,  0.858000E+01,  0.187400E+02
    6,  0.366513E+00,  0.161500E+02,  0.990000E+01,  0.210500E+02
    7,  0.902720E+00,  0.200900E+02,  0.135600E+02,  0.276000E+02
    8,  0.149994E+01,  0.281500E+02,  0.178700E+02,  0.355100E+02
    9,  0.225037E+01,  0.491400E+02,  0.225200E+02,  0.522700E+02
   10,  0.297020E+01,  0.931300E+02,  0.264100E+02,  0.780200E+02
   11,  0.390194E+01,  0.232740E+03,  0.305400E+02,  0.127540E+03
   12,  0.460015E+01,  0.477790E+03,  0.328500E+02,  0.180980E+03
Number,Deviate,Expected_probability_quantitle
    1, -0.105490E+01,  0.117100E+02
    2, -0.656981E+00,  0.124000E+02
    3, -0.315890E+00,  0.131200E+02
    4, -0.214971E-02,  0.141600E+02
    5,  0.218096E+00,  0.151600E+02
    6,  0.401897E+00,  0.161500E+02
    7,  0.910907E+00,  0.200900E+02
    8,  0.150886E+01,  0.281500E+02
    9,  0.222365E+01,  0.491400E+02
   10,  0.281511E+01,  0.931300E+02
