Number,Deviate,Gauged_value
    1, -0.143620E+01,  0.533000E+01
    2, -0.117058E+01,  0.685000E+01
    3, -0.100736E+01,  0.701000E+01
    4, -0.880843E+00,  0.711000E+01
    5, -0.773718E+00,  0.763000E+01
    6, -0.678592E+00,  0.781000E+01
    7, -0.591556E+00,  0.879000E+01
    8, -0.510257E+00,  0.107500E+02
    9, -0.433148E+00,  0.118100E+02
   10, -0.359145E+00,  0.121400E+02
   11, -0.287442E+00,  0.125600E+02
   12, -0.217417E+00,  0.126100E+02
   13, -0.148567E+00,  0.127400E+02
   14, -0.804708E-01,  0.130700E+02
   15, -0.127637E-01,  0.133200E+02
   16,  0.548828E-01,  0.139400E+02
   17,  0.122773E+00,  0.146100E+02
   18,  0.191199E+00,  0.149400E+02
   19,  0.260449E+00,  0.150700E+02
   20,  0.330816E+00,  0.159800E+02
   21,  0.402605E+00,  0.164600E+02
   22,  0.476145E+00,  0.169600E+02
   23,  0.551792E+00,  0.170500E+02
   24,  0.629947E+00,  0.172000E+02
   25,  0.711066E+00,  0.174400E+02
   26,  0.795679E+00,  0.182600E+02
   27,  0.884415E+00,  0.191900E+02
   28,  0.978030E+00,  0.193100E+02
   29,  0.107746E+01,  0.199900E+02
   30,  0.118387E+01,  0.202000E+02
   31,  0.129877E+01,  0.212600E+02
   32,  0.142416E+01,  0.213300E+02
   33,  0.156277E+01,  0.231000E+02
   34,  0.171847E+01,  0.233000E+02
   35,  0.189703E+01,  0.253000E+02
   36,  0.210767E+01,  0.289100E+02
   37,  0.236639E+01,  0.329700E+02
   38,  0.270511E+01,  0.334500E+02
   39,  0.320362E+01,  0.379700E+02
   40,  0.419718E+01,  0.481600E+02
Number,Deviate,Expected_par_quantile,Lower_90%_probabilty_limit,Upper_90%_probability_limit
    1, -0.152934E+01,  0.468000E+01,  0.301000E+01,  0.622000E+01
    2, -0.874591E+00,  0.786000E+01,  0.629000E+01,  0.932000E+01
    3, -0.475885E+00,  0.101400E+02,  0.856000E+01,  0.117600E+02
    4, -0.940478E-01,  0.125400E+02,  0.107500E+02,  0.145100E+02
    5,  0.165703E+00,  0.142800E+02,  0.123100E+02,  0.165100E+02
    6,  0.366513E+00,  0.156600E+02,  0.135600E+02,  0.181400E+02
    7,  0.902720E+00,  0.195500E+02,  0.168800E+02,  0.227400E+02
    8,  0.149994E+01,  0.241400E+02,  0.206800E+02,  0.285500E+02
    9,  0.225037E+01,  0.302500E+02,  0.255100E+02,  0.376600E+02
   10,  0.297020E+01,  0.364300E+02,  0.298100E+02,  0.481000E+02
   11,  0.390194E+01,  0.448800E+02,  0.349300E+02,  0.653000E+02
   12,  0.460015E+01,  0.515700E+02,  0.386900E+02,  0.812300E+02
Number,Deviate,Expected_probability_quantitle
    1, -0.152934E+01,  0.468000E+01
    2, -0.874591E+00,  0.786000E+01
    3, -0.475885E+00,  0.101400E+02
    4, -0.940478E-01,  0.125400E+02
    5,  0.165703E+00,  0.142800E+02
    6,  0.366513E+00,  0.156600E+02
    7,  0.898601E+00,  0.195500E+02
    8,  0.149094E+01,  0.241400E+02
    9,  0.223228E+01,  0.302500E+02
   10,  0.292721E+01,  0.364300E+02
   11,  0.377570E+01,  0.448800E+02
   12,  0.435451E+01,  0.515700E+02
   13,  0.422696E+01,  0.608700E+02
   14,  0.457439E+01,  0.705700E+02
   15,  0.442699E+01,  0.956100E+02
   16,  0.000000E+00,  0.000000E+00
   17,  0.000000E+00,  0.000000E+00
   18,  0.000000E+00,  0.000000E+00
   19,  0.000000E+00,  0.000000E+00
   20,  0.000000E+00,  0.000000E+00
   21,  0.000000E+00,  0.000000E+00
   22,  0.000000E+00,  0.000000E+00
   23,  0.000000E+00,  0.000000E+00
   24,  0.000000E+00,  0.000000E+00
   25,  0.000000E+00,  0.000000E+00
   26,  0.000000E+00,  0.000000E+00
   27,  0.000000E+00,  0.000000E+00
   28,  0.000000E+00,  0.000000E+00
   29,  0.000000E+00,  0.000000E+00
   30,  0.000000E+00,  0.000000E+00
   31,  0.000000E+00,  0.000000E+00
   32,  0.000000E+00,  0.000000E+00
   33,  0.000000E+00,  0.000000E+00
   34,  0.000000E+00,  0.000000E+00
   35,  0.000000E+00,  0.000000E+00
   36,  0.000000E+00,  0.000000E+00
   37,  0.000000E+00,  0.000000E+00
   38,  0.000000E+00,  0.000000E+00
   39,  0.000000E+00,  0.000000E+00
   40,  0.000000E+00,  0.000000E+00
