Site ID,Distance (km),Catchment area (km^2),Lat (outlet),Lon (outlet),latc,lonc,Flow record length (years),Mean annual rainfall (mm),Shape factor,50% AEP Flow (m3/s),20% AEP Flow (m3/s),10% AEP Flow (m3/s),5% AEP Flow (m3/s),2% AEP Flow (m3/s),1% AEP Flow (m3/s),50% AEP 5% Lower Confidence Limit Flow (m3/s),20% AEP 5% Lower Confidence Limit Flow (m3/s),10% AEP 5% Lower Confidence Limit Flow (m3/s),5% AEP 5% Lower Confidence Limit Flow (m3/s),2% AEP 5% Lower Confidence Limit Flow (m3/s),1% AEP 5% Lower Confidence Limit Flow (m3/s),50% AEP 95% Upper Confidence Limit Flow (m3/s),20% AEP 95% Upper Confidence Limit Flow (m3/s),10% AEP 95% Upper Confidence Limit Flow (m3/s),5% AEP 95% Upper Confidence Limit Flow (m3/s),2% AEP 95% Upper Confidence Limit Flow (m3/s),1% AEP 95% Upper Confidence Limit Flow (m3/s),Bias Correction Factor
213004,10.5200,106.0000,-33.8133,151.0000,-33.7763,150.9760,20.0000,875.0000,0.4682,175.5800,404.4200,612.1100,852.5000,1223.2100,1545.5000,117.0700,270.5700,397.9200,527.2400,678.3300,768.3400,266.1000,633.4000,1102.9000,1880.5000,3689.3000,5997.4000,2.1930
212320,29.8100,88.0000,-33.8783,150.7683,-33.9607,150.7520,40.0000,771.0000,1.0209,26.0100,80.8200,146.7200,240.5200,420.3700,610.6900,17.3200,53.5100,91.9800,137.4300,208.0100,264.3300,39.0000,126.8000,254.9000,524.6000,1309.8000,2550.3000,1.3820
213200,40.0600,73.0000,-34.1633,150.8383,-34.2033,150.8640,33.0000,1427.0000,0.6080,78.3100,220.8900,329.1300,428.7200,542.4800,614.4900,50.4700,148.3400,241.1500,322.3600,399.8300,439.3400,118.9000,311.1000,456.1000,626.6000,918.2000,1169.9000,-0.1480
211013,62.2700,83.0000,-33.3500,151.3400,-33.2977,151.2780,35.0000,1365.1900,0.9267,29.9700,85.8400,146.9200,227.5300,369.6800,508.8600,20.5700,58.3300,95.2700,137.6700,200.1400,246.2800,43.9000,130.7000,254.3000,469.3000,994.9000,1689.9000,0.4740
211009,71.2400,236.0000,-33.2700,151.3600,-33.1663,151.2830,39.0000,1239.4900,0.9113,53.2900,171.5000,303.3900,476.1000,773.6000,1055.8400,34.9300,114.5300,195.9300,289.8200,419.8300,509.0800,80.9000,262.1000,516.3000,963.8000,2090.4000,3566.4000,0.5500
211014,74.4700,181.0000,-33.2167,151.2667,-33.1416,151.2760,35.0000,1068.0000,0.6436,65.2300,199.5200,317.6500,440.8200,602.5900,719.9000,39.3600,140.4800,226.4500,312.7200,421.1400,486.0500,106.0000,306.4000,479.2000,652.6000,1001.2000,1291.0000,1.7610
211010,74.5000,92.0000,-33.2483,151.3900,-33.1803,151.3610,27.0000,1192.0000,0.8633,31.2200,52.5900,65.1700,75.6900,87.1800,94.4100,24.0800,44.0200,54.6700,63.2100,70.9400,74.8900,40.7000,64.9000,81.7000,102.0000,133.6000,165.2000,0.9130
212013,79.8600,26.0000,-33.7300,150.2433,-33.7163,150.2700,23.0000,1403.0000,0.5869,16.7900,45.1000,71.6000,102.1100,148.0000,186.5100,10.5200,29.3500,46.1900,63.0100,82.9600,95.9000,26.6000,72.1000,127.6000,219.8000,429.0000,695.8000,-0.3960
212045,83.5500,970.0000,-33.7583,150.1967,-33.5458,150.1390,29.0000,831.0000,0.8022,55.0200,212.4700,460.6500,904.7300,2012.0800,3510.1600,33.3700,117.5300,228.8300,386.7000,688.2300,981.7500,89.7000,409.3000,1152.2000,3134.2000,11221.1000,27896.4000,-0.9060
214003,86.2000,35.0000,-34.5767,150.7050,-34.5750,150.6600,33.0000,2000.0000,0.7190,57.0400,130.8800,201.4000,287.0500,426.9800,555.8300,42.0300,94.7400,140.6700,189.1600,254.5200,300.7100,78.0000,186.8000,312.9000,519.1000,1008.4000,1656.4000,0.2450
211008,95.9000,55.0000,-33.0667,151.4667,-33.0252,151.4840,37.0000,1135.0000,0.6798,42.5500,92.5500,124.7600,152.0600,181.3400,199.0600,31.2300,70.7100,100.1400,123.3600,146.6700,159.5900,60.4000,119.5000,162.3000,207.0000,263.8000,309.4000,1.2580
212011,99.4600,404.0000,-33.5367,150.0933,-33.4309,150.0890,50.0000,766.0000,0.6040,57.1800,167.7000,286.3000,439.0900,700.0000,946.9900,37.8500,121.8400,196.2300,284.8100,410.0500,492.2700,84.7000,246.5000,419.7000,702.2000,1467.0000,2275.2000,0.3550
212042,100.8600,67.0000,-33.4983,150.0967,-33.4729,150.1620,27.0000,831.0000,0.8420,23.8500,58.1400,102.1500,171.6100,326.5800,519.8300,17.7400,38.6800,61.1900,90.4100,144.5900,199.0400,32.9000,94.5000,201.3000,430.9000,1140.3000,2373.3000,0.9570
212008,105.6100,199.0000,-33.4300,150.0800,-33.3841,150.0580,60.0000,1096.8000,0.4019,32.2100,120.6900,216.1300,331.8300,509.5400,658.2000,21.1900,84.9700,151.0100,227.0400,330.8700,404.9800,48.4000,174.5000,322.7000,521.1000,972.1000,1501.0000,1.3810
421036,107.1800,112.0000,-33.7500,149.9400,-33.8205,149.9040,25.0000,1124.1700,0.8299,10.4700,27.5900,47.1800,74.6500,127.2800,183.5300,7.0800,17.7400,28.3100,40.6100,59.0500,73.7800,15.5000,45.7000,94.1000,190.5000,463.5000,884.7000,-1.1170
