Copyright Commonwealth of Australia 2016 Bureau of Meteorology (ABN 92 637 533 532)

IFD Design Rainfall Intensity (mm/h)
Issued:,05 April 2025
Location Label:,
Requested coordinate:,Latitude,-33.8774,Longitude,151.093
Nearest grid cell:,Latitude,33.8875 (S),Longitude,151.0875 (E)

,,Annual Exceedance Probability (AEP)
Duration,Duration in min,63.2%,50%,20%,10%,5%,2%,1%
1 min,1,137,151,195,224,253,291,319
2 min,2,113,123,154,176,197,226,248
3 min,3,105,114,144,165,185,212,233
4 min,4,98.4,108,137,157,177,203,223
5 min,5,93.0,102,131,151,170,195,214
10 min,10,73.4,81.4,106,122,138,158,174
15 min,15,61.1,67.7,88.2,102,115,132,145
20 min,20,52.6,58.2,75.7,87.3,98.5,113,124
25 min,25,46.4,51.3,66.5,76.6,86.4,99.2,109
30 min,30,41.7,46.0,59.5,68.5,77.2,88.5,97.1
45 min,45,32.4,35.7,45.7,52.5,59.1,67.9,74.5
1 hour,60,27.0,29.5,37.7,43.3,48.7,55.9,61.5
1.5 hour,90,20.7,22.6,28.7,32.9,37.1,42.7,47.0
2 hour,120,17.2,18.7,23.7,27.2,30.7,35.4,39.1
3 hour,180,13.3,14.5,18.4,21.1,23.9,27.7,30.7
4.5 hour,270,10.3,11.3,14.4,16.7,18.9,22.1,24.6
6 hour,360,8.67,9.52,12.3,14.3,16.3,19.0,21.3
9 hour,540,6.84,7.56,9.92,11.6,13.3,15.7,17.6
12 hour,720,5.79,6.44,8.57,10.1,11.6,13.8,15.5
18 hour,1080,4.58,5.15,6.99,8.30,9.63,11.5,12.9
24 hour,1440,3.87,4.38,6.03,7.20,8.38,10.0,11.3
30 hour,1800,3.38,3.85,5.35,6.41,7.48,8.96,10.1
36 hour,2160,3.02,3.45,4.83,5.80,6.77,8.12,9.17
48 hour,2880,2.50,2.87,4.06,4.89,5.72,6.86,7.73
72 hour,4320,1.89,2.18,3.09,3.73,4.35,5.20,5.85
96 hour,5760,1.52,1.75,2.49,2.99,3.48,4.15,4.65
120 hour,7200,1.27,1.47,2.07,2.48,2.88,3.41,3.82
144 hour,8640,1.10,1.26,1.77,2.11,2.44,2.87,3.21
168 hour,10080,0.962,1.10,1.53,1.82,2.11,2.46,2.75
