,,ARI,flow_rate,lower_5,upper_95,diff_perc_lower,diff_perc_upper
RFFA,full_data,2.0,18.1,7.49,43.3,41.38121546961326,239.22651933701655
RFFA,full_data,5.0,42.1,18.3,96.9,43.46793349168646,230.16627078384798
RFFA,full_data,10.0,66.0,28.8,152.0,43.63636363636363,230.3030303030303
RFFA,full_data,20.0,96.2,41.4,225.0,43.03534303534303,233.88773388773387
RFFA,full_data,50.0,148.0,62.1,354.0,41.95945945945946,239.1891891891892
RFFA,full_data,100.0,197.0,81.3,483.0,41.26903553299493,245.1776649746193
GEV,full_data,2.0,15.73,13.61,18.05,86.52256834075015,114.7488874761602
GEV,full_data,5.0,23.99,20.71,28.63,86.32763651521468,119.3413922467695
GEV,full_data,10.0,30.18,25.35,38.45,83.99602385685884,127.40225314778
GEV,full_data,20.0,36.72,29.83,50.66,81.2363834422658,137.96296296296296
GEV,full_data,50.0,46.16,35.41,72.79,76.71143847487001,157.69064124783367
GEV,full_data,100.0,54.03,39.17,95.0,72.49676105867111,175.82824356838793
