Copyright Commonwealth of Australia 2016 Bureau of Meteorology (ABN 92 637 533 532)

All Design Rainfall Depth (mm)
Issued:,08 April 2024
Location Label:,
Requested coordinate:,Latitude,-33.8774,Longitude,151.093
Nearest grid cell:,Latitude,33.8875 (S),Longitude,151.0875 (E)

,,Exceedances per Year (EY),Annual Exceedance Probability (AEP)
Duration,Duration in min,12EY,6EY,4EY,3EY,2EY,63.2%,50%,0.5EY,20%,0.2EY,10%,5%,2%,1%,1 in 200,1 in 500,1 in 1000,1 in 2000
1 min,1,0.999,1.13,1.37,1.55,1.80,2.28,2.51,2.79,3.25,3.31,3.74,4.22,4.84,5.32,5.82,6.58,7.17,7.76
2 min,2,1.77,2.00,2.39,2.67,3.07,3.77,4.10,4.55,5.14,5.25,5.86,6.57,7.52,8.25,9.08,10.3,11.3,12.2
3 min,3,2.41,2.73,3.29,3.68,4.25,5.23,5.71,6.34,7.21,7.35,8.23,9.24,10.6,11.6,12.8,14.5,15.8,17.1
4 min,4,2.96,3.36,4.07,4.58,5.30,6.56,7.19,7.98,9.15,9.33,10.5,11.8,13.5,14.9,16.3,18.4,20.1,21.8
5 min,5,3.43,3.91,4.76,5.37,6.23,7.75,8.52,9.46,10.9,11.1,12.6,14.1,16.2,17.8,19.5,22.1,24.0,26.1
10 min,10,5.15,5.91,7.28,8.27,9.70,12.2,13.6,15.1,17.6,18.0,20.4,23.0,26.4,29.0,31.6,35.8,39.0,42.2
15 min,15,6.29,7.25,8.96,10.2,12.0,15.3,16.9,18.8,22.0,22.5,25.5,28.7,33.0,36.2,39.6,44.7,48.7,52.8
20 min,20,7.16,8.26,10.2,11.7,13.7,17.5,19.4,21.5,25.2,25.7,29.1,32.8,37.7,41.4,45.2,51.2,55.7,60.4
25 min,25,7.86,9.07,11.2,12.8,15.1,19.3,21.4,23.7,27.7,28.3,31.9,36.0,41.3,45.3,49.6,56.1,61.2,66.3
30 min,30,8.46,9.76,12.1,13.8,16.3,20.8,23.0,25.5,29.7,30.3,34.2,38.6,44.3,48.6,53.2,60.2,65.6,71.1
45 min,45,9.86,11.4,14.1,16.1,19.0,24.3,26.7,29.7,34.3,35.0,39.4,44.4,50.9,55.9,61.3,69.4,75.6,82.0
1 hour,60,10.9,12.6,15.6,17.8,21.0,27.0,29.5,32.8,37.7,38.5,43.3,48.7,55.9,61.5,67.4,76.3,83.2,90.2
1.5 hour,90.0,12.6,14.5,18.0,20.5,24.2,31.0,33.9,37.6,43.0,43.9,49.3,55.6,64.0,70.5,77.2,87.4,95.3,103
2 hour,120,13.9,16.0,19.8,22.6,26.8,34.3,37.5,41.6,47.5,48.4,54.4,61.4,70.8,78.2,85.6,96.9,106,114
3 hour,180,16.0,18.5,22.9,26.2,31.0,39.8,43.4,48.1,55.1,56.2,63.3,71.7,83.0,92.0,100,114,124,134
4.5 hour,270.0,18.4,21.3,26.5,30.4,36.0,46.4,50.7,56.3,64.9,66.2,75.0,85.3,99.4,111,121,136,148,160
6 hour,360,20.4,23.7,29.5,33.9,40.3,52.0,57.1,63.4,73.7,75.2,85.6,97.7,114,128,139,157,170,184
9 hour,540,23.6,27.5,34.5,39.7,47.4,61.5,68.0,75.5,89.2,91.0,104,120,141,158,172,194,211,228
12 hour,720,26.1,30.5,38.5,44.5,53.3,69.5,77.3,85.8,103,105,121,140,165,186,202,228,248,268
18 hour,1080,30.0,35.3,45.0,52.1,62.8,82.5,92.7,103,126,128,149,173,207,233,254,287,312,338
24 hour,1440,33.0,39.1,50.0,58.1,70.3,92.8,105,117,145,148,173,201,240,271,297,336,366,396
30 hour,1800,35.4,42.0,54.0,63.0,76.4,101,115,128,160,164,192,224,269,303,342,393,433,474
36 hour,2160,37.3,44.5,57.4,67.1,81.6,109,124,138,174,177,209,244,292,330,377,434,480,529
48 hour,2880,40.3,48.3,62.7,73.6,89.8,120,138,153,195,199,235,275,329,371,423,488,540,594
72 hour,4320,44.0,53.2,69.8,82.3,101,136,157,174,223,227,268,313,375,421,471,537,589,642
96 hour,5760,45.9,55.9,74.1,87.7,108,146,168,187,239,244,287,334,398,446,493,557,606,656
120 hour,7200,46.9,57.6,76.9,91.4,113,153,176,195,249,254,298,346,409,458,503,566,614,662
144 hour,8640,47.4,58.4,78.8,93.9,116,158,181,201,254,259,304,351,414,462,510,573,620,668
168 hour,10080,47.5,58.9,80.1,95.8,119,162,185,205,258,263,307,354,414,462,514,578,628,677
