Copyright Commonwealth of Australia 2016 Bureau of Meteorology (ABN 92 637 533 532)

IFD Design Rainfall Depth (mm)
Issued:,08 April 2024
Location Label:,
Requested coordinate:,Latitude,-33.8774,Longitude,151.093
Nearest grid cell:,Latitude,33.8875 (S),Longitude,151.0875 (E)

,,Annual Exceedance Probability (AEP)
Duration,Duration in min,63.2%,50%,20%,10%,5%,2%,1%
1 min,1,2.28,2.51,3.25,3.74,4.22,4.84,5.32
2 min,2,3.77,4.10,5.14,5.86,6.57,7.52,8.25
3 min,3,5.23,5.71,7.21,8.23,9.24,10.6,11.6
4 min,4,6.56,7.19,9.15,10.5,11.8,13.5,14.9
5 min,5,7.75,8.52,10.9,12.6,14.1,16.2,17.8
10 min,10,12.2,13.6,17.6,20.4,23.0,26.4,29.0
15 min,15,15.3,16.9,22.0,25.5,28.7,33.0,36.2
20 min,20,17.5,19.4,25.2,29.1,32.8,37.7,41.4
25 min,25,19.3,21.4,27.7,31.9,36.0,41.3,45.3
30 min,30,20.8,23.0,29.7,34.2,38.6,44.3,48.6
45 min,45,24.3,26.7,34.3,39.4,44.4,50.9,55.9
1 hour,60,27.0,29.5,37.7,43.3,48.7,55.9,61.5
1.5 hour,90,31.0,33.9,43.0,49.3,55.6,64.0,70.5
2 hour,120,34.3,37.5,47.5,54.4,61.4,70.8,78.2
3 hour,180,39.8,43.4,55.1,63.3,71.7,83.0,92.0
4.5 hour,270,46.4,50.7,64.9,75.0,85.3,99.4,111
6 hour,360,52.0,57.1,73.7,85.6,97.7,114,128
9 hour,540,61.5,68.0,89.2,104,120,141,158
12 hour,720,69.5,77.3,103,121,140,165,186
18 hour,1080,82.5,92.7,126,149,173,207,233
24 hour,1440,92.8,105,145,173,201,240,271
30 hour,1800,101,115,160,192,224,269,303
36 hour,2160,109,124,174,209,244,292,330
48 hour,2880,120,138,195,235,275,329,371
72 hour,4320,136,157,223,268,313,375,421
96 hour,5760,146,168,239,287,334,398,446
120 hour,7200,153,176,249,298,346,409,458
144 hour,8640,158,181,254,304,351,414,462
168 hour,10080,162,185,258,307,354,414,462
