Copyright Commonwealth of Australia 2016 Bureau of Meteorology (ABN 92 637 533 532)

Rare Design Rainfall Depth (mm)
Issued:,08 April 2024
Location Label:,
Requested coordinate:,Latitude,-33.8774,Longitude,151.093
Nearest grid cell:,Latitude,33.8875 (S),Longitude,151.0875 (E)

,,Annual Exceedance Probability (1 in x)
Duration,Duration in min,1 in 100,1 in 200,1 in 500,1 in 1000,1 in 2000
1 min,1,5.32,5.82,6.58,7.17,7.76
2 min,2,8.25,9.08,10.3,11.3,12.2
3 min,3,11.6,12.8,14.5,15.8,17.1
4 min,4,14.9,16.3,18.4,20.1,21.8
5 min,5,17.8,19.5,22.1,24.0,26.1
10 min,10,29.0,31.6,35.8,39.0,42.2
15 min,15,36.2,39.6,44.7,48.7,52.8
20 min,20,41.4,45.2,51.2,55.7,60.4
25 min,25,45.3,49.6,56.1,61.2,66.3
30 min,30,48.6,53.2,60.2,65.6,71.1
45 min,45,55.9,61.3,69.4,75.6,82.0
1 hour,60,61.5,67.4,76.3,83.2,90.2
1.5 hour,90,70.5,77.2,87.4,95.3,103
2 hour,120,78.2,85.6,96.9,106,114
3 hour,180,92.0,100,114,124,134
4.5 hour,270,111,121,136,148,160
6 hour,360,128,139,157,170,184
9 hour,540,158,172,194,211,228
12 hour,720,186,202,228,248,268
18 hour,1080,233,254,287,312,338
24 hour,1440,271,297,336,366,396
30 hour,1800,303,342,393,433,474
36 hour,2160,330,377,434,480,529
48 hour,2880,371,423,488,540,594
72 hour,4320,421,471,537,589,642
96 hour,5760,446,493,557,606,656
120 hour,7200,458,503,566,614,662
144 hour,8640,462,510,573,620,668
168 hour,10080,462,514,578,628,677
