Copyright Commonwealth of Australia 2016 Bureau of Meteorology (ABN 92 637 533 532)

Very Frequent Design Rainfall Depth (mm)
Issued:,08 April 2024
Location Label:,
Requested coordinate:,Latitude,-33.8774,Longitude,151.093
Nearest grid cell:,Latitude,33.8875 (S),Longitude,151.0875 (E)

,,Exceedance per Year (EY)
Duration,Duration in min,12EY,6EY,4EY,3EY,2EY,1EY,0.5EY,0.2EY
1 min,1,0.999,1.13,1.37,1.55,1.80,2.28,2.79,3.31
2 min,2,1.77,2.00,2.39,2.67,3.07,3.77,4.55,5.25
3 min,3,2.41,2.73,3.29,3.68,4.25,5.23,6.34,7.35
4 min,4,2.96,3.36,4.07,4.58,5.30,6.56,7.98,9.33
5 min,5,3.43,3.91,4.76,5.37,6.23,7.75,9.46,11.1
10 min,10,5.15,5.91,7.28,8.27,9.70,12.2,15.1,18.0
15 min,15,6.29,7.25,8.96,10.2,12.0,15.3,18.8,22.5
20 min,20,7.16,8.26,10.2,11.7,13.7,17.5,21.5,25.7
25 min,25,7.86,9.07,11.2,12.8,15.1,19.3,23.7,28.3
30 min,30,8.46,9.76,12.1,13.8,16.3,20.8,25.5,30.3
45 min,45,9.86,11.4,14.1,16.1,19.0,24.3,29.7,35.0
1 hour,60,10.9,12.6,15.6,17.8,21.0,27.0,32.8,38.5
1.5 hour,90,12.6,14.5,18.0,20.5,24.2,31.0,37.6,43.9
2 hour,120,13.9,16.0,19.8,22.6,26.8,34.3,41.6,48.4
3 hour,180,16.0,18.5,22.9,26.2,31.0,39.8,48.1,56.2
4.5 hour,270,18.4,21.3,26.5,30.4,36.0,46.4,56.3,66.2
6 hour,360,20.4,23.7,29.5,33.9,40.3,52.0,63.4,75.2
9 hour,540,23.6,27.5,34.5,39.7,47.4,61.5,75.5,91.0
12 hour,720,26.1,30.5,38.5,44.5,53.3,69.5,85.8,105
18 hour,1080,30.0,35.3,45.0,52.1,62.8,82.5,103,128
24 hour,1440,33.0,39.1,50.0,58.1,70.3,92.8,117,148
30 hour,1800,35.4,42.0,54.0,63.0,76.4,101,128,164
36 hour,2160,37.3,44.5,57.4,67.1,81.6,109,138,177
48 hour,2880,40.3,48.3,62.7,73.6,89.8,120,153,199
72 hour,4320,44.0,53.2,69.8,82.3,101,136,174,227
96 hour,5760,45.9,55.9,74.1,87.7,108,146,187,244
120 hour,7200,46.9,57.6,76.9,91.4,113,153,195,254
144 hour,8640,47.4,58.4,78.8,93.9,116,158,201,259
168 hour,10080,47.5,58.9,80.1,95.8,119,162,205,263
