Copyright Commonwealth of Australia 2016 Bureau of Meteorology (ABN 92 637 533 532)

All Design Rainfall Depth (mm)
Issued:,08 April 2024
Location Label:,
Requested coordinate:,Latitude,-33.8702,Longitude,151.091
Nearest grid cell:,Latitude,33.8625 (S),Longitude,151.0875 (E)

,,Exceedances per Year (EY),Annual Exceedance Probability (AEP)
Duration,Duration in min,12EY,6EY,4EY,3EY,2EY,63.2%,50%,0.5EY,20%,0.2EY,10%,5%,2%,1%,1 in 200,1 in 500,1 in 1000,1 in 2000
1 min,1,0.994,1.13,1.37,1.54,1.80,2.27,2.51,2.79,3.27,3.33,3.77,4.27,4.92,5.41,5.90,6.68,7.27,7.88
2 min,2,1.76,1.99,2.38,2.67,3.07,3.77,4.10,4.55,5.14,5.24,5.86,6.57,7.52,8.25,9.08,10.3,11.3,12.2
3 min,3,2.40,2.72,3.28,3.68,4.25,5.23,5.71,6.33,7.21,7.36,8.25,9.27,10.6,11.7,12.8,14.5,15.9,17.2
4 min,4,2.94,3.35,4.06,4.57,5.29,6.56,7.19,7.98,9.17,9.35,10.5,11.9,13.6,15.0,16.4,18.6,20.3,22.0
5 min,5,3.41,3.89,4.74,5.35,6.22,7.75,8.52,9.46,11.0,11.2,12.6,14.3,16.4,18.0,19.7,22.3,24.3,26.3
10 min,10,5.11,5.88,7.24,8.24,9.67,12.2,13.6,15.1,17.8,18.1,20.6,23.3,26.9,29.6,32.2,36.4,39.7,42.9
15 min,15,6.25,7.20,8.92,10.2,12.0,15.3,17.0,18.8,22.2,22.7,25.7,29.2,33.6,37.0,40.3,45.6,49.7,53.8
20 min,20,7.11,8.21,10.2,11.6,13.7,17.5,19.4,21.6,25.4,25.9,29.4,33.3,38.4,42.2,46.1,52.1,56.8,61.5
25 min,25,7.81,9.02,11.2,12.8,15.1,19.3,21.4,23.8,27.9,28.5,32.3,36.5,42.0,46.2,50.4,57.1,62.2,67.4
30 min,30,8.40,9.70,12.0,13.7,16.3,20.8,23.0,25.6,29.9,30.5,34.5,39.0,44.9,49.4,54.0,61.1,66.6,72.2
45 min,45,9.80,11.3,14.0,16.0,19.0,24.3,26.8,29.7,34.4,35.1,39.6,44.7,51.4,56.6,61.9,70.1,76.4,82.9
1 hour,60,10.9,12.5,15.5,17.8,21.0,27.0,29.6,32.8,37.8,38.5,43.4,48.9,56.3,62.0,67.8,76.8,83.8,90.8
1.5 hour,90.0,12.5,14.5,17.9,20.5,24.2,31.1,33.9,37.6,43.0,43.9,49.3,55.6,64.1,70.7,77.3,87.5,95.4,103
2 hour,120,13.8,16.0,19.8,22.6,26.8,34.4,37.4,41.5,47.3,48.3,54.3,61.3,70.7,78.2,85.4,96.6,105,114
3 hour,180,15.9,18.4,22.8,26.1,30.9,39.8,43.3,48.1,54.8,55.9,63.0,71.3,82.6,91.6,99.8,113,123,133
4.5 hour,270.0,18.4,21.3,26.5,30.3,36.0,46.4,50.6,56.2,64.5,65.8,74.5,84.6,98.7,110,119,135,147,159
6 hour,360,20.4,23.6,29.5,33.9,40.3,52.0,57.0,63.2,73.2,74.7,84.9,96.9,114,127,138,155,169,183
9 hour,540,23.5,27.4,34.4,39.7,47.4,61.5,67.9,75.3,88.7,90.4,104,119,141,158,171,193,209,226
12 hour,720,26.1,30.5,38.5,44.5,53.2,69.4,77.1,85.6,102,104,120,139,165,186,201,227,246,266
18 hour,1080,30.0,35.3,44.9,52.1,62.7,82.4,92.5,103,125,128,149,173,206,233,253,286,311,337
24 hour,1440,33.0,39.0,50.0,58.1,70.2,92.7,105,116,144,147,172,201,241,272,297,336,366,397
30 hour,1800,35.4,42.0,54.0,63.0,76.4,101,115,128,160,163,192,225,270,305,344,395,435,476
36 hour,2160,37.3,44.5,57.4,67.1,81.5,108,124,137,174,177,209,245,294,332,379,438,484,533
48 hour,2880,40.3,48.3,62.8,73.6,89.8,120,138,153,195,199,236,277,332,374,427,493,546,600
72 hour,4320,44.0,53.2,69.9,82.3,101,136,156,174,223,228,270,317,379,426,477,545,597,652
96 hour,5760,46.0,56.0,74.2,87.8,108,146,168,187,240,244,289,338,403,452,499,565,615,666
120 hour,7200,47.0,57.6,77.0,91.5,113,153,176,195,249,254,300,350,415,464,510,575,624,673
144 hour,8640,47.4,58.5,78.9,94.0,116,158,181,201,255,260,305,355,420,470,517,581,630,679
168 hour,10080,47.5,58.9,80.1,95.8,119,162,185,205,258,263,308,357,421,471,521,587,637,688
