Copyright Commonwealth of Australia 2016 Bureau of Meteorology (ABN 92 637 533 532)

IFD Design Rainfall Depth (mm)
Issued:,08 April 2024
Location Label:,
Requested coordinate:,Latitude,-33.8702,Longitude,151.091
Nearest grid cell:,Latitude,33.8625 (S),Longitude,151.0875 (E)

,,Annual Exceedance Probability (AEP)
Duration,Duration in min,63.2%,50%,20%,10%,5%,2%,1%
1 min,1,2.27,2.51,3.27,3.77,4.27,4.92,5.41
2 min,2,3.77,4.10,5.14,5.86,6.57,7.52,8.25
3 min,3,5.23,5.71,7.21,8.25,9.27,10.6,11.7
4 min,4,6.56,7.19,9.17,10.5,11.9,13.6,15.0
5 min,5,7.75,8.52,11.0,12.6,14.3,16.4,18.0
10 min,10,12.2,13.6,17.8,20.6,23.3,26.9,29.6
15 min,15,15.3,17.0,22.2,25.7,29.2,33.6,37.0
20 min,20,17.5,19.4,25.4,29.4,33.3,38.4,42.2
25 min,25,19.3,21.4,27.9,32.3,36.5,42.0,46.2
30 min,30,20.8,23.0,29.9,34.5,39.0,44.9,49.4
45 min,45,24.3,26.8,34.4,39.6,44.7,51.4,56.6
1 hour,60,27.0,29.6,37.8,43.4,48.9,56.3,62.0
1.5 hour,90,31.1,33.9,43.0,49.3,55.6,64.1,70.7
2 hour,120,34.4,37.4,47.3,54.3,61.3,70.7,78.2
3 hour,180,39.8,43.3,54.8,63.0,71.3,82.6,91.6
4.5 hour,270,46.4,50.6,64.5,74.5,84.6,98.7,110
6 hour,360,52.0,57.0,73.2,84.9,96.9,114,127
9 hour,540,61.5,67.9,88.7,104,119,141,158
12 hour,720,69.4,77.1,102,120,139,165,186
18 hour,1080,82.4,92.5,125,149,173,206,233
24 hour,1440,92.7,105,144,172,201,241,272
30 hour,1800,101,115,160,192,225,270,305
36 hour,2160,108,124,174,209,245,294,332
48 hour,2880,120,138,195,236,277,332,374
72 hour,4320,136,156,223,270,317,379,426
96 hour,5760,146,168,240,289,338,403,452
120 hour,7200,153,176,249,300,350,415,464
144 hour,8640,158,181,255,305,355,420,470
168 hour,10080,162,185,258,308,357,421,471
