Copyright Commonwealth of Australia 2016 Bureau of Meteorology (ABN 92 637 533 532)

Rare Design Rainfall Depth (mm)
Issued:,08 April 2024
Location Label:,
Requested coordinate:,Latitude,-33.8702,Longitude,151.091
Nearest grid cell:,Latitude,33.8625 (S),Longitude,151.0875 (E)

,,Annual Exceedance Probability (1 in x)
Duration,Duration in min,1 in 100,1 in 200,1 in 500,1 in 1000,1 in 2000
1 min,1,5.41,5.90,6.68,7.27,7.88
2 min,2,8.25,9.08,10.3,11.3,12.2
3 min,3,11.7,12.8,14.5,15.9,17.2
4 min,4,15.0,16.4,18.6,20.3,22.0
5 min,5,18.0,19.7,22.3,24.3,26.3
10 min,10,29.6,32.2,36.4,39.7,42.9
15 min,15,37.0,40.3,45.6,49.7,53.8
20 min,20,42.2,46.1,52.1,56.8,61.5
25 min,25,46.2,50.4,57.1,62.2,67.4
30 min,30,49.4,54.0,61.1,66.6,72.2
45 min,45,56.6,61.9,70.1,76.4,82.9
1 hour,60,62.0,67.8,76.8,83.8,90.8
1.5 hour,90,70.7,77.3,87.5,95.4,103
2 hour,120,78.2,85.4,96.6,105,114
3 hour,180,91.6,99.8,113,123,133
4.5 hour,270,110,119,135,147,159
6 hour,360,127,138,155,169,183
9 hour,540,158,171,193,209,226
12 hour,720,186,201,227,246,266
18 hour,1080,233,253,286,311,337
24 hour,1440,272,297,336,366,397
30 hour,1800,305,344,395,435,476
36 hour,2160,332,379,438,484,533
48 hour,2880,374,427,493,546,600
72 hour,4320,426,477,545,597,652
96 hour,5760,452,499,565,615,666
120 hour,7200,464,510,575,624,673
144 hour,8640,470,517,581,630,679
168 hour,10080,471,521,587,637,688
