id_duration,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
id_timestep,0,0,0,0,0,0,0,0,0,1,1,1,2,2,3,3,4,4,4,5,5,5,5,5
id_group,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
duration_in_min,10,15,20,25,30,45,60,90,120,180,270,360,540,720,1080,1440,1800,2160,2880,4320,5760,7200,8640,10080
duration,10.0,15.0,20.0,25.0,30.0,45.0,1.0,1.5,2.0,3.0,4.5,6.0,9.0,12.0,18.0,24.0,30.0,36.0,48.0,72.0,96.0,120.0,144.0,168.0
units,min,min,min,min,min,min,hour,hour,hour,hour,hour,hour,hour,hour,hour,hour,hour,hour,hour,hour,hour,hour,hour,hour
time_step,5,5,5,5,5,5,5,5,5,15,15,15,30,30,60,60,120,120,120,180,180,180,180,180
depth,5.15,6.29,7.16,7.86,8.46,9.86,10.9,12.6,13.9,16.0,18.4,20.4,23.6,26.1,30.0,33.0,35.4,37.3,40.3,44.0,45.9,46.9,47.4,47.5
0,3.092359319515403,3.2815647857861006,3.475541961735609,2.8560383296836087,3.1831950859288947,3.0197201995980545,3.7160488735626234,3.3881669018147003,2.084464179524097,2.4803800643643514,1.5922958662749478,1.5962347076107724,2.813521560004222,1.78567232196184,0.7205474654419134,1.0224376583005772,0.5715208981499008,0.5671925612741857,0.3392172241403277,0.41278205080801045,0.4518623082118559,0.34921423598886286,0.3128913865278149,0.34812457062222657
1,3.0957524698775174,3.329428660559919,3.043977490542852,2.983632935728466,3.285209879961788,2.97539316899976,2.759644402867989,3.0005394222663933,1.9509966775110412,3.5890507547117374,3.3229757418043713,2.128762852978914,0.9872259733037607,1.981756054775708,0.7851745369464961,0.7206103570572788,0.6312285056126457,0.8508801337706754,0.39769480795329765,0.41213826526444375,0.5493561287324995,0.3378501770235714,0.25143787789899635,0.25255173654737284
2,3.0975446350998683,3.209759827720539,3.1009827516644073,3.204651382627896,2.9636622466556037,3.9267752812846815,3.2080060528615766,3.1774017368420346,3.1318997343732917,1.674410937745307,2.8697023185358423,1.357074030877545,1.010509341406937,0.8602521065475542,1.036285676281164,1.1602859712890503,0.7136436508996514,0.6186369861649924,0.3062115296644385,0.36690399325216855,0.35497830453047563,0.2562800664269686,0.26448882486912534,0.25987327589977705
3,3.090739840463218,3.6805430387209346,3.699700797754708,3.581230006594955,3.637499775981732,4.154098044421051,2.438786294430181,2.229137317947362,2.6704794512340793,1.5759488835131075,1.8769740103089136,2.543136677835632,1.101779122782467,1.1544541619846125,0.9696855609884506,1.0487326960873822,0.4055014803980867,0.462106744076656,0.323351256650896,0.2949406323805845,0.24809236378326338,0.3268034463705015,0.45864297877641624,0.4393840467176473
4,3.092550219626017,3.75198733732367,3.9183141619756476,3.8025599561723897,4.109277563480335,4.266019857107601,3.0849949683291467,2.6190414755788893,2.2131329149210535,1.6374413369237737,1.3011742933170771,1.1293706606354281,0.905612386804972,0.8827492882296706,0.8557986922125753,0.5853331171089309,0.48612282021655323,0.36205821826984735,0.8674769068712154,0.4602411268699356,0.2843266785144099,0.6152684808618446,0.23591566616217768,0.3121000516272139
5,3.0479258243479914,3.8125212914685704,3.592647997363264,3.8268090912703503,4.00698376420277,3.51220203512255,2.8299785249552745,2.2870299774831278,3.6905079331992776,1.402516986546061,1.6345402628301962,1.5012963869727287,1.8221769851813714,0.7348825922136015,0.8110069348556738,0.7292543708406808,0.3927455817480556,0.3405384991598114,0.5720052677526409,0.48116228682355383,0.38227696149946727,0.4259434134390539,0.39808183179259765,0.37134510900796425
6,3.0756151565185776,3.4349620143820023,4.0702341526068855,3.931410781323969,3.393132916851912,4.355229198333217,2.4409526322258057,2.0941135890489284,2.8252749464296096,2.1673025074720047,2.36378900283527,1.476030240471083,0.981390473067144,0.8261550973243167,1.0727355725168075,0.8769981836919111,0.5047621205419909,0.8970123595295906,0.5849189010772822,0.2725861799223008,0.3731638904503121,0.3945746904192735,0.5977186103724994,0.5405337975781956
7,3.0759379876234294,3.5333350245009627,3.3586822439630812,3.206251659592586,3.5223783209281208,3.5900247588758334,3.12129492757287,2.047183180633317,2.181189519568688,1.7211303105534366,1.3282073973912465,2.411166869294767,1.9523164210095632,1.2085582707406266,1.0684585977861423,0.9480379003636183,0.9938139052222473,0.5604143352347032,0.5643447234410196,0.44246760392026346,0.2851881491548373,0.5223441755615462,0.3288802153308911,0.39240540398657475
8,2.968447690067208,3.8950135712895153,4.300961487439009,4.164001688863987,4.128504075328946,3.633099157198766,4.173366027039295,3.6465811177400003,3.887246951702119,2.233955192085468,1.54556220380709,1.744478711668806,1.3257138754452413,1.2341795763598482,0.8413755237676702,1.1850307876788437,0.9377346690348848,0.5461173639503871,0.5677710253037922,0.34166223281018876,0.4233325163405774,0.27537496193095923,0.5654267255933478,0.3390375195117708
9,3.0665271270712697,3.827723031064075,4.175128955278847,4.586947552112258,3.897026336941174,3.9826310068728374,4.02553182302943,3.02795414008813,2.846163142071421,2.450790946805873,2.4826898281461705,1.815950001546608,1.2569937826536566,1.4921679358634257,0.7882376339661055,0.9176986951353353,0.8539443828043237,0.6363710768440919,0.40365295876287133,0.3346212907447428,0.4509431358986991,0.283477825899212,0.38069186268994787,0.36683092692114777
