id_duration,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
id_timestep,0,0,0,0,0,0,0,0,0,1,1,1,2,2,3,3,4,4,4,5,5,5,5,5
id_group,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167
duration_in_min,10,15,20,25,30,45,60,90,120,180,270,360,540,720,1080,1440,1800,2160,2880,4320,5760,7200,8640,10080
duration,10.0,15.0,20.0,25.0,30.0,45.0,1.0,1.5,2.0,3.0,4.5,6.0,9.0,12.0,18.0,24.0,30.0,36.0,48.0,72.0,96.0,120.0,144.0,168.0
units,min,min,min,min,min,min,hour,hour,hour,hour,hour,hour,hour,hour,hour,hour,hour,hour,hour,hour,hour,hour,hour,hour
time_step,5,5,5,5,5,5,5,5,5,15,15,15,30,30,60,60,120,120,120,180,180,180,180,180
depth,13.6,16.9,19.4,21.4,23.0,26.7,29.5,33.9,37.5,43.4,50.7,57.1,68.0,77.3,92.7,105.0,115.0,124.0,138.0,157.0,168.0,176.0,181.0,185.0
0,11.0386091900869,11.421403252525627,12.617893492141143,11.208872409385945,10.448698370812387,11.529549515546895,12.507452404050653,11.972481152184129,6.1756906800119795,7.0770517978004115,4.564921268897036,5.010082879599927,9.21843719124976,5.489866134859975,2.2954469960291775,3.3404006511908837,1.9191924935982116,1.950080929385998,1.2315445636240276,1.5438142075812755,1.7278783287414294,1.3865765909719068,1.2726844569339137,1.4358143911022352
1,11.54022949201313,11.982110578684319,10.774063298664938,9.61503819415126,10.401939343839922,11.272910253388144,8.914110163253207,8.987944975638749,6.123660171949972,10.691862614151297,9.884213348046016,6.775231585494465,2.953141940444613,6.211315073765756,2.488161512449915,2.367854252688684,2.1141124452050977,2.895910586366311,1.4290782389625787,1.5415101166508522,2.08415096257057,1.3439577122327295,1.038922879124954,1.0638528396906088
2,10.798230617349727,11.844382115630248,11.66033069962996,10.541154278512687,10.813301270693744,12.730040003639854,10.70035987989471,9.865531228653989,9.468190920341716,5.205885856667262,8.440268546912815,3.9674829108218046,3.1685322145779438,2.7382315504622605,3.2637266490190924,3.8854476166350276,2.384969138507314,2.1220402903231905,1.116160960601465,1.380221682579646,1.372839790551688,1.037877105179834,1.0880681107586396,1.09236082566539
3,11.59905887294999,11.629425716945196,12.220391570486816,12.162146762664754,13.46130987928113,13.016863293810234,7.208083428655649,7.395419056783838,8.044269959556543,4.653209686810587,5.824708606223765,7.78180703770054,3.274564493978332,3.7906405576026727,3.20883271025468,3.4497779843572,1.3799573126615974,1.6006771154924944,1.1783477726053229,1.1233134808721275,0.98204748628684,1.302629943734568,1.8291868380781988,1.7914841943728852
4,11.355540757360178,12.531609211063557,13.285168573415696,12.51725148943714,12.925408642476224,13.430557130315504,8.762158692917332,7.686467175485564,6.491814394995005,5.477509990434484,3.778060653715335,3.281054890110548,2.8256378407378318,2.842336081423527,2.7493579883494523,1.9439063622115893,1.6519682843175376,1.2703211267161603,3.0391637304588213,1.7131665452405411,1.1164165694681136,2.3848891303768736,0.9791571478792073,1.2973440310253852
5,12.591288095565753,11.984797933666046,11.043033689544226,12.882373057510618,14.497290939316844,10.523590933251308,9.25240299577197,6.5374331275197015,12.483341636587584,4.3334770064480805,4.654122245456285,4.9807211863681715,5.610808379819844,2.2779887723770487,2.5918056129225238,2.387207995152564,1.3381942313631199,1.1980006796019798,2.026028826918984,1.7880497748109168,1.4726947658179774,1.674576072685235,1.598085371293378,1.5267670821506116
6,12.137938876952056,11.235478557271753,14.555901875346526,12.407205022631823,10.712761825422227,12.877749519836094,6.996707273500376,6.087794758453153,9.531109928584986,8.1331954317125,7.145669472644253,4.446858233294164,3.0042994062201265,2.6097516057309864,3.3911108391060587,2.9130848627520134,1.702731956082962,3.0474211234695217,2.0700809139684315,1.043819871450583,1.4394096141931116,1.557051126742772,2.3604536266258362,2.1851650472134305
7,11.759935145297481,11.541077947795726,12.065727702477549,10.429922046575761,11.15666791468533,11.667619567216807,9.014079049982552,5.911509456296257,6.388420499328194,5.0820377271340265,3.880990513292935,7.94845713170897,5.901470313364949,3.7473598685920235,3.3844116241438362,3.1087232056208185,3.2925752655177023,1.92957893407972,2.000200832664243,1.649803252353956,1.1176540567469264,2.0361901570956458,1.3337800385198508,1.6082194785503936
8,13.32719114346555,12.981922903018411,12.999473751111083,13.8133218065224,12.734400412682682,10.644493698965631,12.922605302090645,10.919736315327567,12.563396660246767,6.538369983500796,4.405589523452877,5.067105021466098,4.036134674997935,3.752006193223879,2.6579316054999507,3.8734912195376285,3.1090423161115472,1.8804655754193265,2.012347836216397,1.290360318139938,1.6230929173095106,1.1101971412601364,2.2369342284401053,1.4005186109032628
9,12.110681745227652,12.914914619910917,13.383019549974755,14.47709277308574,11.369348216593949,11.751777019950543,12.202159911115212,9.021326531946512,8.570426111474458,7.093763092822184,7.456916404698944,5.354852130373865,3.9090414380812613,4.656733863184534,2.509015491221136,3.000941119914274,2.8368950095980154,2.180733352598875,1.4518151245845583,1.2650159687130078,1.7241804637052394,1.1399041301577333,1.5316769488908113,1.5091198828111743
