id_duration,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
id_timestep,0,0,0,0,0,0,0,0,0,1,1,1,2,2,3,3,4,4,4,5,5,5,5,5
id_group,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256,257,258,259,260,261,262,263
duration_in_min,10,15,20,25,30,45,60,90,120,180,270,360,540,720,1080,1440,1800,2160,2880,4320,5760,7200,8640,10080
duration,10.0,15.0,20.0,25.0,30.0,45.0,1.0,1.5,2.0,3.0,4.5,6.0,9.0,12.0,18.0,24.0,30.0,36.0,48.0,72.0,96.0,120.0,144.0,168.0
units,min,min,min,min,min,min,hour,hour,hour,hour,hour,hour,hour,hour,hour,hour,hour,hour,hour,hour,hour,hour,hour,hour
time_step,5,5,5,5,5,5,5,5,5,15,15,15,30,30,60,60,120,120,120,180,180,180,180,180
depth,20.4,25.5,29.1,31.9,34.2,39.4,43.3,49.3,54.4,63.3,75.0,85.6,104.0,121.0,149.0,173.0,192.0,209.0,235.0,268.0,287.0,298.0,304.0,307.0
0,15.959518055994694,16.73790647979137,16.337533738074246,17.63459694376087,16.258533764148247,16.777476372953885,12.953927223031448,12.81694418708824,15.941806152140002,8.680022170959251,9.122049214131687,10.046512487733608,5.174032119707877,4.202498757174907,5.265879977557424,8.605375641537675,4.004634696568585,3.2666404840041325,2.127062666596051,1.7049553423841879,2.6512270421186575,2.3646657438564476,2.836671478642967,2.765816323221665
1,16.963644692156365,15.986407505980862,17.206675536297794,16.916579322652797,14.463695516260502,17.60901928174319,15.75610520850739,14.312645031284477,12.85608148915174,9.487113295182512,7.734122394733198,9.00526086293546,12.72744000644405,6.7968936127596695,3.1385804405166042,3.2503641549370705,2.4449955324885697,3.74973697797833,3.759225176210434,2.1356339965319657,3.628329766931191,2.6598711456191615,1.3822327616293986,1.3105410243787434
2,16.11169345110235,17.009112428494856,15.386379610943848,17.181416758432004,16.030359616895183,14.135571073148027,14.680881456437033,13.46026745146656,11.602904846201705,9.132957742825619,6.1648734681844,7.942467583488573,12.930703558204414,6.547488513242109,4.91187169201941,3.795868008781441,4.431527952690273,2.8180466307587055,2.367604594223192,3.0638541175994116,1.7898775884815914,2.3668524944966847,1.7926878478461918,2.175596239653576
3,16.6400146731597,17.718534383879984,17.022719718487732,17.265352433651103,16.6902049790092,13.868852619263437,10.32682494076906,13.248751382851184,12.000751694079579,9.882303438412539,5.565031787434198,7.581984238799208,4.462492297414227,3.5993866712960867,6.628694447659118,3.200199186594142,3.911648442646123,3.266643715123293,2.437456744667491,3.0548016747583953,2.383766467048327,1.737081103231843,1.7659190117377939,2.4774644729483457
4,16.28369852125354,16.432797671374107,16.442199876211756,14.79624478661388,16.887914215256355,13.018304975297811,16.4153626505123,9.980648391493025,10.383128612162015,10.730117644773676,5.182260413517787,6.183102401768077,8.778731930939307,6.265036618390062,3.963922829311545,2.793720371777765,3.949689711097101,4.113207052912885,2.843554562434757,2.436518924468496,1.676154003219701,3.8188254630875065,2.816594876903261,2.3400470126316715
5,16.21391357304389,17.52906524069837,16.899766065041522,17.001468763704654,15.937382988018621,13.07643205622236,16.316973183161313,11.79951301334994,11.257161021906319,9.107775056265067,7.057872736591832,11.647000373705762,3.3412331547918415,5.605728536525385,4.124477707053294,3.94347908073938,6.84395309051976,3.036599293269957,3.141019411207618,2.7728020264447206,1.751969797445519,3.331189972273185,4.2041113629631095,3.52273956731139
6,16.158408260976344,17.979646205375932,16.994416850255007,14.567978334569155,15.447887728509063,14.79267042734989,14.363404106725289,9.608366561932842,8.573028513339729,7.489886673197408,6.466497741736555,4.612759671028056,3.901049918336277,5.81097135832638,3.6736518380175913,4.757970190583906,5.361532953644272,5.314757381514135,3.7049059630890273,1.6164599536538666,3.251433886097947,2.465254287540861,2.1451438496279662,2.556310678695563
7,16.37487496331642,17.354712190730922,16.519740813625443,16.00297047201042,16.24573822439589,13.515432890805492,12.164625865019326,8.183939765138813,7.891537046800278,10.750332048741647,7.2342007635218994,5.528065206990215,5.591081210504256,15.46955806486517,3.4834564712394256,4.728062767255638,3.4192422865150505,10.095121809659647,3.228963252923812,4.851825152910959,2.7817983589053132,2.537415596762648,3.0352067659654822,1.740816088362174
8,15.992168291244722,16.663886892995546,17.636243372864342,16.61549166460344,17.525007556278844,17.031718413528534,16.433470079567456,15.846967608065864,14.716447576140745,8.105744292625571,6.421966915580516,8.003768419129308,6.188958917204773,6.388080125743632,3.6870367160171904,7.05543153918123,3.1825500388957932,9.871741729253445,2.031352044926359,3.5016034928904354,1.6740482189357073,2.1809824264289555,2.4998305944501213,2.0854864235069055
9,16.476998585935174,16.9249825412313,17.68676404982069,17.925584020055737,17.610898028966734,16.610996266475855,15.180222766423425,11.380119644573796,14.771974137613846,10.1219105723989,13.203271706132364,8.758527440080622,6.476490660596108,4.586522208049608,15.996441491066346,3.3500655697215667,5.110905438937698,3.9145088185072887,5.10685721295871,2.115968293063908,1.8088314256030327,1.999485612490476,2.6582126995211195,2.283728228380289
