id_duration,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
id_timestep,0,0,0,0,0,0,0,0,0,1,1,1,2,2,3,3,4,4,4,5,5,5,5,5
id_group,336,337,338,339,340,341,342,343,344,345,346,347,348,349,350,351,352,353,354,355,356,357,358,359
duration_in_min,10,15,20,25,30,45,60,90,120,180,270,360,540,720,1080,1440,1800,2160,2880,4320,5760,7200,8640,10080
duration,10.0,15.0,20.0,25.0,30.0,45.0,1.0,1.5,2.0,3.0,4.5,6.0,9.0,12.0,18.0,24.0,30.0,36.0,48.0,72.0,96.0,120.0,144.0,168.0
units,min,min,min,min,min,min,hour,hour,hour,hour,hour,hour,hour,hour,hour,hour,hour,hour,hour,hour,hour,hour,hour,hour
time_step,5,5,5,5,5,5,5,5,5,15,15,15,30,30,60,60,120,120,120,180,180,180,180,180
depth,31.6,39.6,45.2,49.6,53.2,61.3,67.4,77.2,85.6,100.0,121.0,139.0,172.0,202.0,254.0,297.0,342.0,377.0,423.0,471.0,493.0,503.0,510.0,514.0
0,20.768170021382858,20.892243043091845,21.089103571786442,20.491670517211297,20.643808469478415,19.178995302492194,21.028412319920914,17.310726956925343,17.501182189428903,15.26937297253999,9.523731889133979,17.769300348009022,16.80793105990277,19.158547274467015,11.160467577094275,16.887793325722427,4.715856920167778,4.660044010432224,8.68732374558189,7.011368134993237,6.635963094659624,5.3560921354788515,5.00050666504661,2.820043714710294
1,20.815348292624073,20.196604109390552,21.61005873724157,19.677727421992785,18.824373619905312,19.43802887846993,16.67823721633549,17.471779829890924,17.280065792656803,13.886653546489661,17.773878235290884,13.116153921422784,12.066525600848703,9.623811485068284,13.605418011579086,19.170367108618333,9.929150431016573,8.636784944692309,10.855318269647757,2.9274344170275604,3.466352281659335,4.37710296251529,4.122674899179866,3.197213822706933
2,20.076013978974178,20.550645517460385,19.619414342389206,21.18237352034131,19.605630353310254,19.134688235405235,18.100246309847243,15.788110020778786,13.473204760213155,17.766605581207944,15.580614242789736,16.955627498678048,11.312455005966246,19.61299802156319,14.405874147721963,13.781308629695635,11.635131331229372,10.273830065214545,7.690353742089905,6.9435039549904065,9.058818469457126,2.711119327671541,6.0537714085854955,8.737117689297657
3,19.966355829497882,20.37267326131442,20.317443724374176,20.51977784894611,19.61468942073764,18.513495208776977,17.131231451925245,13.305337105268613,19.331501476306652,18.1396822948179,17.650099422165628,13.021219106199458,17.758994692504782,13.411055528998626,10.586655206530969,15.170999361741968,13.676185019318432,13.345151140811256,8.813492426294191,6.238090107596046,6.63950436268831,11.450567030413008,10.142218440007023,10.212434863569445
4,19.65454710388647,20.411238148381813,18.7331474030185,20.475404629973827,19.445705252891436,17.715700178429586,18.905403674820793,13.23318114617505,19.672350701185938,8.992551486370997,14.07749784574025,13.687080798516968,10.268368977420701,23.876213482818276,10.064994123442057,11.321295533905582,8.713250143897973,15.184023834212946,7.962582280729045,5.784160078945633,16.62901322424527,16.33322618295582,7.127665515719063,3.428097872179634
5,20.590845943334024,19.732784594543013,19.62023456349748,19.07246826907827,17.702666576408138,17.743437247414754,17.739285708562765,18.129882100910873,17.466971739342043,13.765852094701284,15.343682189883411,13.359813171213506,12.454456835583123,16.645484589188367,14.80040235331324,13.483385486411597,9.464151083244532,13.041180091975844,15.681303752405812,9.56744094075103,2.7471119209875927,8.732759405337005,14.56005517349811,2.597513331735261
6,19.967187872872117,21.057927454283547,20.58619290614785,20.084882064732263,20.80177141716515,16.885103949190107,16.221069195992524,21.40082652118882,12.003139812515922,15.456570984069982,11.221574776101116,14.149468939543953,14.356307648687524,7.764055570727894,13.781464423760681,12.079518094100091,16.369746878483074,5.241211931724934,10.347659495950527,13.256605076125354,2.5987901284606107,2.6705184947459206,10.691708959001549,2.567339725896628
7,20.649740781242418,20.74024585867289,19.989933756949313,18.556523097081094,18.351848232888393,18.227453892505647,17.695526603410485,17.343817180218185,17.531539150975828,13.369437104459923,16.35666951037877,14.715675063704927,13.478666954471004,10.349126717378951,7.618609413319227,11.363890534766076,9.419939361501083,16.970465324861884,4.484979965266523,9.970783980127448,13.81771439636096,1.8843388894183397,1.892234494293841,13.309664863673994
8,20.556255100888013,20.86458169613694,21.71300089621109,19.332158786570375,19.900960310180736,18.949023851956856,16.272828608519546,15.801450863063694,15.994413041594939,11.174827016027306,17.326456231193863,19.707851958715082,20.48688117016632,14.523138943273654,18.044788309816205,14.244940542200046,9.232750786316732,17.532433939640296,15.746051553498937,11.891876261379204,1.9801797574246416,4.610264573603022,2.064382583841737,5.245979833783042
9,19.825692043451483,20.353614075034322,19.49199099968035,21.258664688405172,20.470520695134848,19.549048670581154,19.090826188427208,15.887788923987392,16.383356420446752,14.303902409408082,13.76129267051379,17.853755527024486,16.46728358526035,16.39990639518102,10.219634203212525,10.119402186764857,5.141557712506045,13.860002477576197,15.142897739858194,10.974669179096418,2.7092373794443763,2.2682012307221164,5.06058468518259,4.629065575071199
