id_duration,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
id_timestep,0,0,0,0,0,0,0,0,0,1,1,1,2,2,3,3,4,4,4,5,5,5,5,5
id_group,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95
duration_in_min,10,15,20,25,30,45,60,90,120,180,270,360,540,720,1080,1440,1800,2160,2880,4320,5760,7200,8640,10080
duration,10.0,15.0,20.0,25.0,30.0,45.0,1.0,1.5,2.0,3.0,4.5,6.0,9.0,12.0,18.0,24.0,30.0,36.0,48.0,72.0,96.0,120.0,144.0,168.0
units,min,min,min,min,min,min,hour,hour,hour,hour,hour,hour,hour,hour,hour,hour,hour,hour,hour,hour,hour,hour,hour,hour
time_step,5,5,5,5,5,5,5,5,5,15,15,15,30,30,60,60,120,120,120,180,180,180,180,180
depth,8.27,10.2,11.7,12.8,13.8,16.1,17.8,20.5,22.6,26.2,30.4,33.9,39.7,44.5,52.1,58.1,63.0,67.1,73.6,82.3,87.7,91.4,93.9,95.8
count,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
mean,6.464474862567743,6.714748641534387,6.946012946713457,6.639290742797741,6.635441031841177,6.807288125375297,5.654802981404506,4.831336575228481,4.863686659927077,3.7091929423618195,3.504295798895319,3.1120958340627154,2.4933553488776057,2.142857169474884,1.5874541216794351,1.6571071968973627,1.1777746618084786,1.0735549937297855,0.9232487826583853,0.7385246267763733,0.7521006023196093,0.7643473527928989,0.7788416092413379,0.758814513210911
std,0.29324086354561346,0.48132730345004465,0.7842470498542893,1.0314627096539748,0.9276079119218039,0.767689970276096,1.2146812333100128,1.143187725467765,1.3546648459341804,1.1191096204001256,1.2167593897981583,0.851263043922738,1.131692070700889,0.7415383026303355,0.23127127293728858,0.35514396103107515,0.38748311215263825,0.3278654630075121,0.31613308136571666,0.13242305770765345,0.1765449662322125,0.22407776582735317,0.25227360118190423,0.17067488389615448
min,6.073488480917321,6.136439034281131,5.951903791525041,5.179759409786987,5.435823651086999,5.710409847688453,4.122044996841803,3.4444454421287145,3.3709112580266165,2.500818837383554,2.2263787758656433,1.9144516319877463,1.6034580891756214,1.289024662355273,1.2761665295617568,1.059888640670179,0.7205950208191819,0.6354373830790753,0.5823411503838984,0.5340302113145906,0.4994356643968929,0.5257173053290125,0.4946718907648861,0.5375859252743548
5%,6.110933940284514,6.147708394207553,6.026955010327893,5.3997988246920485,5.538394684948578,5.860336653349244,4.126926542633956,3.499139867077196,3.434292768497886,2.590892009504495,2.24633434949225,2.090730825125335,1.6447766305716183,1.3645868567851651,1.3254540031287887,1.16594947478336,0.7308768539693228,0.6530178759722879,0.5971184952651676,0.5527883560865096,0.530979176870516,0.5426064388533565,0.5086165059522867,0.5442292811348439
25%,6.285445922207937,6.393428216461982,6.302110576775314,5.727360606943,5.8864660132087945,6.160180059209148,5.007676960901401,3.864808526827906,3.663721461899921,2.950872567601361,2.626871568302198,2.611812420036034,1.7213853286388425,1.5396139090293464,1.40626060448148,1.3786377613042433,0.8988812362991557,0.8913259497986825,0.6700652599901928,0.6533100027869393,0.6035412339179362,0.5998292630583,0.5751284512588821,0.6718307157036153
50%,6.407174842960564,6.637052542145966,6.737264669122274,6.857310697669094,6.438325744906137,6.765009339525465,5.256435389811184,4.82749498486308,4.801747087132567,3.468528313923188,3.0603292209263784,2.908246204901561,2.0541614103932284,2.095462864496742,1.5037897103085254,1.6741346609977223,1.0922231831310243,1.0369361432160646,0.9075187341068511,0.7526586762019264,0.7469004989920223,0.6957398415452389,0.7299939286609558,0.7491895037697135
75%,6.587797040305918,6.985327914443359,7.787560305183593,7.253457646974491,7.426616952036225,7.415225007442823,6.815710129260978,5.595270845412323,5.420604651099204,4.188154384880197,4.288696956503845,3.6583882639270007,2.970616178337341,2.5054433843167603,1.808968614771823,1.8750787199840648,1.4796469615447394,1.1593750218665084,1.0658047503855526,0.8378108926981609,0.8736749143943247,0.8411092133926131,0.9057008269525486,0.8089438847479158
95%,6.923695863427706,7.453627949889761,7.895678655237855,8.007969736735362,7.843489867819525,7.807941522773259,7.3029852921074525,6.467912783632904,7.012898378446323,5.416112757817765,5.368971871832965,4.416144479936068,4.369476670055883,3.3308903272145782,1.8889693100087295,2.123382443379117,1.745958347680657,1.5993749658119556,1.3753697163458602,0.9065036348145992,0.9910884909320918,1.1437639986065522,1.1824505590073473,1.026515990692784
max,7.047033242621422,7.498468717328796,7.9284133567247626,8.53289641660242,8.067515523185477,7.877733826309588,7.488042372691781,6.591720880345407,7.043631180341692,6.217603730860141,5.7772313226133,4.455537592509554,5.1735867297107285,3.5043239834826725,1.891113605033731,2.1250915750437924,1.7911736247011354,1.6363104813227254,1.6079133287819474,0.9241648334614818,1.0747874835090137,1.225252830103737,1.211284901888883,1.1182565442164036
