id_duration,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
id_timestep,0,0,0,0,0,0,0,0,0,1,1,1,2,2,3,3,4,4,4,5,5,5,5,5
id_group,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167
duration_in_min,10,15,20,25,30,45,60,90,120,180,270,360,540,720,1080,1440,1800,2160,2880,4320,5760,7200,8640,10080
duration,10.0,15.0,20.0,25.0,30.0,45.0,1.0,1.5,2.0,3.0,4.5,6.0,9.0,12.0,18.0,24.0,30.0,36.0,48.0,72.0,96.0,120.0,144.0,168.0
units,min,min,min,min,min,min,hour,hour,hour,hour,hour,hour,hour,hour,hour,hour,hour,hour,hour,hour,hour,hour,hour,hour
time_step,5,5,5,5,5,5,5,5,5,15,15,15,30,30,60,60,120,120,120,180,180,180,180,180
depth,13.6,16.9,19.4,21.4,23.0,26.7,29.5,33.9,37.5,43.4,50.7,57.1,68.0,77.3,92.7,105.0,115.0,124.0,138.0,157.0,168.0,176.0,181.0,185.0
count,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
mean,11.825870393626843,12.006712283651181,12.460500420279269,12.005437784047812,11.852112681580442,11.9445150935921,9.848011910123232,8.438564377828946,8.58403209630772,6.428636318748163,6.003546058334026,5.4613653006938545,4.390206789347259,3.8116229701222664,2.853980102899582,3.027083527006068,2.172963845296311,2.0075229713453577,1.755476880060483,1.4339075218392845,1.4660364955391407,1.4973849110437434,1.5268949646544896,1.4910646383485375
std,0.7492772683147367,0.6124059290082426,1.152009964944378,1.548094491929903,1.4408102815527213,1.0161133555467792,2.1342410134937593,2.068350762421623,2.4508910473844563,1.9353557804654666,2.117335524719191,1.5603576416110099,2.016966886753182,1.2989557234448763,0.4145384248093103,0.6470165700834167,0.7072356931250061,0.6058576719367668,0.592635633184657,0.2526131123852546,0.3381683332509812,0.4314747044746448,0.4862630694029736,0.3295799848841647
min,10.798230617349727,11.235478557271753,10.774063298664938,9.61503819415126,10.401939343839922,10.523590933251308,6.996707273500376,5.911509456296257,6.123660171949972,4.3334770064480805,3.778060653715335,3.281054890110548,2.8256378407378318,2.2779887723770487,2.2954469960291775,1.9439063622115893,1.3381942313631199,1.1980006796019798,1.116160960601465,1.043819871450583,0.98204748628684,1.037877105179834,0.9791571478792073,1.0638528396906088
5%,10.906400975081455,11.319144670135996,10.895099974560617,9.981735927742285,10.422980905977532,10.577997177822754,7.0918265433202485,5.990837842266861,6.147073900577875,4.477356712611209,3.8243790905252553,3.5899474994306138,2.8830146856058834,2.4272820473863206,2.3821685284185095,2.134682912926282,1.3569876179474347,1.230544880803361,1.1441450260032011,1.079591995690278,1.0425135737184132,1.07042112141597,1.0060517269397933,1.0766814333792605
25%,11.401712941023415,11.563164890083094,11.761679950341858,10.708083811231003,10.737896686740106,11.337070068927831,8.8001465605013,6.751929609835735,6.414268973244897,5.1129997595173355,4.4454224598139165,4.580323971562666,3.0453576083095806,2.764257683202577,2.529713021646483,2.5186772120524266,1.6646592022588937,1.6706242304742025,1.2809279824586655,1.2713520560697402,1.1814504901981169,1.180585583551942,1.1342221973024582,1.3231376759948545
50%,11.679497009123736,11.913246347157283,12.41914253131398,12.284675892648288,11.263008065639639,11.709698293583674,9.133241022877261,8.337206075562158,8.3073480355155,6.00793998696764,5.239415425840025,5.038593950533013,3.5918029660297965,3.749683030907951,2.7036447969247015,3.0548321627675463,2.0166524694016545,1.939829931732859,1.7260079786244007,1.460865899615249,1.4560521900055445,1.365267151602318,1.432728493705331,1.4724671369567046
75%,12.131124594020955,12.39490639171418,13.213744867839543,12.791092665492249,12.87765658502784,12.840822140787033,11.826709903310086,9.65448005447712,9.515380176524168,7.089585269066741,7.379104671685272,6.420136721714315,5.2171399536143666,4.440210536789069,3.2500031643279894,3.422433651065621,2.72391354182534,2.166060087029954,2.0226085792433373,1.6233059911607859,1.698908577106307,1.6451948361996194,1.7714114713819935,1.587856379450448
95%,12.99603477191064,12.951769175620038,14.028104828929228,14.178395838132236,14.031099462300771,13.244394903888132,12.735786497972649,11.498745975598675,12.527371899600134,9.540462382053835,9.234438187536075,7.8734645894051765,7.725802096201592,5.886663051258154,3.3880961923730584,3.880067237941198,3.2099854382849324,2.9792413817730767,2.603076463038145,1.7543523215042476,1.9238282773474564,2.2279745924003205,2.304869897442257,2.008008663435185
max,13.32719114346555,12.981922903018411,14.555901875346526,14.47709277308574,14.497290939316844,13.430557130315504,12.922605302090645,11.972481152184129,12.563396660246767,10.691862614151297,9.884213348046016,7.94845713170897,9.21843719124976,6.211315073765756,3.3911108391060587,3.8854476166350276,3.2925752655177023,3.0474211234695217,3.0391637304588213,1.7880497748109168,2.08415096257057,2.3848891303768736,2.3604536266258362,2.1851650472134305
