id_duration,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
id_timestep,0,0,0,0,0,0,0,0,0,1,1,1,2,2,3,3,4,4,4,5,5,5,5,5
id_group,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191
duration_in_min,10,15,20,25,30,45,60,90,120,180,270,360,540,720,1080,1440,1800,2160,2880,4320,5760,7200,8640,10080
duration,10.0,15.0,20.0,25.0,30.0,45.0,1.0,1.5,2.0,3.0,4.5,6.0,9.0,12.0,18.0,24.0,30.0,36.0,48.0,72.0,96.0,120.0,144.0,168.0
units,min,min,min,min,min,min,hour,hour,hour,hour,hour,hour,hour,hour,hour,hour,hour,hour,hour,hour,hour,hour,hour,hour
time_step,5,5,5,5,5,5,5,5,5,15,15,15,30,30,60,60,120,120,120,180,180,180,180,180
depth,15.1,18.8,21.5,23.7,25.5,29.7,32.8,37.6,41.6,48.1,56.3,63.4,75.5,85.8,103.0,117.0,128.0,138.0,153.0,174.0,187.0,195.0,201.0,205.0
count,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
mean,13.03051716913185,13.388466545504972,13.73802796690092,13.252376715793378,13.143119664534117,13.191425358639217,10.936986019783095,9.407619038100284,9.56682808854359,7.172497352959603,6.70667041356076,6.098552935528486,4.893354354632467,4.244519753295411,3.1748536207620175,3.377030757703647,2.421734309943088,2.2373033499517123,1.9493000476061422,1.5921592689311432,1.6349594203353732,1.6620133935136205,1.6986618613659459,1.6552440846013685
std,0.9164256905222391,0.6586529425101781,1.2117284224853162,1.5989617329625274,1.474962007786982,1.015537206075411,2.249826807769051,2.2687441655310616,2.6580677496960017,2.160702909628058,2.370972045405415,1.7537555644904053,2.2502293663165314,1.4422129876269307,0.4608410446954975,0.7213349087904334,0.7871797477403794,0.6742574197816948,0.657045720947702,0.2799659711222823,0.37641289563101504,0.47805409942723437,0.5399933586863296,0.36520997970874086
min,11.800196062297113,12.601909489292328,11.98930392031681,10.7183196554347,11.697962045501194,11.731742257892632,7.799602858971048,6.632219168047667,6.877917078271737,4.834807804837823,4.211319515363131,3.652661285656772,3.147526757673241,2.5366566682170513,2.5538879635623837,2.1698395913167516,1.4925900772365042,1.3363917785868604,1.2404887690924336,1.1598333654905284,1.0962343745762344,1.1528996581293849,1.0904012346657734,1.1818474524147204
5%,11.921022504392061,12.683013467947621,12.096184363062426,11.129451154017419,11.70978178816883,11.778152989951925,7.949695487465289,6.697196931953127,6.937151828490804,4.990928527567375,4.262985326334259,3.9993257185845854,3.210097545990989,2.7044460945182847,2.650146998860651,2.3823197483021987,1.5135093056449183,1.372613108381001,1.271528603350137,1.1994785721265193,1.1635396485519935,1.1889574968522991,1.1202679597200829,1.1960629064659043
25%,12.498339092517606,12.83927038847756,12.999854484453193,11.978176828644763,11.983791756526484,12.620885517441804,9.83214269764605,7.5574639507406784,7.176208650557312,5.705880045252242,4.9457136173007346,5.10643080263336,3.3968511529244467,3.0849555982957524,2.8144404740050897,2.8101040537567297,1.8560045968768486,1.8623613778572679,1.4231790065436614,1.4120023781068904,1.3181881369851647,1.3110140874448972,1.2625998952262747,1.469163745620801
50%,12.84462002167692,13.170984022708467,13.690513376637973,13.502699237406947,12.555730885325477,12.994475626966379,10.276335181287038,9.303312213506938,9.274894752234509,6.700095886786504,5.841423938218093,5.613221458866298,3.9988242208855382,4.17084115636073,3.007716857345701,3.4077343181152493,2.2477470524885774,2.1619663131629263,1.9166288072703832,1.6220365950474607,1.6238453910335022,1.5156327495791038,1.5940900054604543,1.6346358116765738
75%,13.3901389343272,14.017037176896416,14.450463218870514,14.012106004494132,14.030528628707822,14.029356898299795,12.978133523352863,10.761215922393973,10.649358423674647,7.907088384488199,8.310408119391688,7.166147699780769,5.8244377526732185,4.944918654021396,3.6149906654092185,3.8176833454709156,3.034960534307948,2.413736723358731,2.2454596247679133,1.8020656981777474,1.8941677347637822,1.8257799420979892,1.9701963586734665,1.7624995061676771
95%,14.475235668623899,14.299005347539898,15.421218108109583,15.510396566801846,15.473946592603435,14.494473254833594,13.958344987594069,12.738462451557744,13.810704712923837,10.660794946230798,10.29216128570375,8.814637804571797,8.6095594199252,6.5476573344517375,3.7681099594124627,4.328278818114288,3.5759770345777087,3.318729597165833,2.88902223525825,1.9473018180889639,2.1445247441148214,2.471473167746563,2.5626004413213783,2.2280735869433093
max,14.868627860585894,14.321197203979487,15.985445269062819,15.695860601772157,15.978907534323268,14.703337766771854,14.192335053489407,13.253321031565232,13.842928190444873,11.910937199659854,10.997949038239385,8.887886972774933,10.281246009626196,6.911185199262359,3.771385249529527,4.334877398543874,3.6679046692423842,3.394604704968721,3.3725122379395396,1.984648141804047,2.322978938678977,2.645327333326896,2.624326056896009,2.424381934914858
