id_duration,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
id_timestep,0,0,0,0,0,0,0,0,0,1,1,1,2,2,3,3,4,4,4,5,5,5,5,5
id_group,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256,257,258,259,260,261,262,263
duration_in_min,10,15,20,25,30,45,60,90,120,180,270,360,540,720,1080,1440,1800,2160,2880,4320,5760,7200,8640,10080
duration,10.0,15.0,20.0,25.0,30.0,45.0,1.0,1.5,2.0,3.0,4.5,6.0,9.0,12.0,18.0,24.0,30.0,36.0,48.0,72.0,96.0,120.0,144.0,168.0
units,min,min,min,min,min,min,hour,hour,hour,hour,hour,hour,hour,hour,hour,hour,hour,hour,hour,hour,hour,hour,hour,hour
time_step,5,5,5,5,5,5,5,5,5,15,15,15,30,30,60,60,120,120,120,180,180,180,180,180
depth,20.4,25.5,29.1,31.9,34.2,39.4,43.3,49.3,54.4,63.3,75.0,85.6,104.0,121.0,149.0,173.0,192.0,209.0,235.0,268.0,287.0,298.0,304.0,307.0
count,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
mean,16.31749330681832,17.033705154055326,16.81324396316224,16.59076835000541,16.309762261773862,15.043647437678848,14.459179748015401,12.063816303724476,11.999482108953597,9.34881629353822,7.415214714156444,7.93094486856589,6.957221377414314,6.5272164466373015,5.487401361045795,4.5480536511109815,4.2660680144003225,4.944700389298181,3.074800162923745,2.725442297470635,2.3397436554786983,2.546162384578777,2.513661124928741,2.325854605909033
std,0.30979946206344605,0.6152535752421263,0.6803106696567921,1.1356926280138333,0.9441643860341772,1.7817415696262902,2.055973209761584,2.3392870301923114,2.651645317222292,1.071161254414878,2.322265878314148,2.110557829434953,3.4448427346453827,3.3205027761471335,3.8350008436320095,1.8788334997727543,1.2511393921902627,2.7470266348804158,0.9410204325211375,0.9674260193532113,0.7148586300506188,0.6153056526563113,0.8056521656753912,0.5923266467908375
min,15.959518055994694,15.986407505980862,15.386379610943848,14.567978334569155,14.463695516260502,13.018304975297811,10.32682494076906,8.183939765138813,7.891537046800278,7.489886673197408,5.182260413517787,4.612759671028056,3.3412331547918415,3.5993866712960867,3.1385804405166042,2.793720371777765,2.4449955324885697,2.8180466307587055,2.031352044926359,1.6164599536538666,1.6740482189357073,1.737081103231843,1.3822327616293986,1.3105410243787434
5%,15.974210661857207,16.187283080407823,15.814398968152528,14.670698237989281,14.906582011772354,13.044462161713858,11.153835356681679,8.824931823696126,8.19820820674303,7.767022601940082,5.354507531780172,5.024647162211028,3.5931506983868373,3.870787109941556,3.293774654341874,2.9766358384451346,2.77689506037182,2.9163953288887687,2.0744218246777204,1.6562828785825112,1.6749958218635046,1.8551631323982278,1.5548915741781764,1.504164803171287
25%,16.12337215357085,16.682391789694503,16.461585110565178,16.156100770158677,15.960627145237762,13.603787822919978,13.306296443954908,10.330516204763217,10.60163671459809,8.786960392285705,6.229146830033429,6.53282286102586,4.640377252987639,4.841323790168552,3.676998057517491,3.2752895086331946,3.5423438255478183,3.2666412917839227,2.385067631834267,2.120884718930922,1.761446745204537,2.2269032557858286,1.8808018482916355,2.108013877543573
50%,16.248806047148715,16.96704748486308,16.947091457648263,16.959024043178726,16.252135994272066,14.46412075024896,14.930552111430229,12.30822860021909,11.801828270140643,9.310035519004066,6.762185239164193,7.97311800130894,5.890020063854514,6.038003988358221,4.044200268182419,3.8696735447604107,3.977162203832843,3.832122898242809,2.9922869868211874,2.6046604754566083,2.09629894632568,2.4160533910187727,2.5790216469856206,2.3118876205059804
75%,16.451467680280487,17.485476978206506,17.16068658184528,17.24436851484633,16.838486906194568,16.735856346334376,16.176756189497834,13.407388434312717,14.251356054393494,10.06200878890231,7.609141986930373,8.94357750722175,8.203171613353508,6.50763641636749,5.177377906172921,4.750493334751839,4.941061067375842,5.0143697993638225,3.5859202855477235,3.0615910068891576,2.7491555297086494,2.6292572584050333,2.8316523282080404,2.536599127258759
95%,16.818011183607865,17.862145885702756,17.664029745190334,17.794639835723046,17.572247316257183,17.349233891046595,16.425321736492634,15.156522448514238,15.41538174560323,10.74123556695606,11.366721584732055,10.926780825018291,12.83923495991225,11.566859061417686,11.780955321533083,7.907900795477273,6.176864028925789,9.994600773476856,4.500422796421985,4.244225405901722,3.458726620556231,3.599389492221061,3.678104294314176,3.182124107471013
max,16.963644692156365,17.979646205375932,17.68676404982069,17.925584020055737,17.610898028966734,17.60901928174319,16.433470079567456,15.846967608065864,15.941806152140002,10.750332048741647,13.203271706132364,11.647000373705762,12.930703558204414,15.46955806486517,15.996441491066346,8.605375641537675,6.84395309051976,10.095121809659647,5.10685721295871,4.851825152910959,3.628329766931191,3.8188254630875065,4.2041113629631095,3.52273956731139
