id_duration,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
id_timestep,0,0,0,0,0,0,0,0,0,1,1,1,2,2,3,3,4,4,4,5,5,5,5,5
id_group,264,265,266,267,268,269,270,271,272,273,274,275,276,277,278,279,280,281,282,283,284,285,286,287
duration_in_min,10,15,20,25,30,45,60,90,120,180,270,360,540,720,1080,1440,1800,2160,2880,4320,5760,7200,8640,10080
duration,10.0,15.0,20.0,25.0,30.0,45.0,1.0,1.5,2.0,3.0,4.5,6.0,9.0,12.0,18.0,24.0,30.0,36.0,48.0,72.0,96.0,120.0,144.0,168.0
units,min,min,min,min,min,min,hour,hour,hour,hour,hour,hour,hour,hour,hour,hour,hour,hour,hour,hour,hour,hour,hour,hour
time_step,5,5,5,5,5,5,5,5,5,15,15,15,30,30,60,60,120,120,120,180,180,180,180,180
depth,23.0,28.7,32.8,36.0,38.6,44.4,48.7,55.6,61.4,71.7,85.3,97.7,120.0,140.0,173.0,201.0,224.0,244.0,275.0,313.0,334.0,346.0,351.0,354.0
count,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
mean,17.20310498389487,17.90155739146089,17.679940930391147,17.59926217222847,17.35166263790013,16.24680887773645,15.697052132123503,13.39848984086387,13.342080207375513,10.623609901413717,8.45127523238348,9.078435558163935,8.097028736615655,7.711764794127275,6.703143599991333,6.318491475345174,5.796971993083637,6.600304857429178,3.9713196191306914,3.9669623904456843,3.1262066663686596,3.0839555429359216,3.1246998801052253,2.806730262348858
std,0.3413633806843736,0.6031609244815483,0.6205645536771819,0.8998756725940066,0.7372822869687657,1.4411533606762372,1.8978068972642619,2.3556187119712497,2.668630979225348,1.1942242785882304,2.514066104076479,2.3682773786321354,3.9099514494304786,3.5818632019543943,3.97225010050574,2.9800808898849716,2.3035608654999242,3.509021228880998,1.4515923157862936,1.8208116285239013,1.4047238122010735,0.7613719781018321,1.128934735345335,0.8647663289338197
min,16.865935577338178,17.11297961240022,16.605485484320358,16.102167059021014,16.001737540301512,14.388312587437014,11.723916637236947,9.37040214025376,8.949394530298262,8.512107458560738,5.921522262807521,5.277226328408125,3.863739859677092,4.1872120208578965,4.049750494592639,3.2506169086816166,2.857096813162159,3.3027635718709494,2.3818160511127346,1.8925133287395473,1.9527138447652987,2.021323575769718,1.6001990578161016,1.5154017840972733
5%,16.869867091925904,17.16412354703614,16.8598291557212,16.146151245992193,16.264162900831845,14.47278700903011,12.518831242364955,10.068814580850166,9.311312563221833,8.846422566516132,6.114210064387068,5.75934087977678,4.159050214236568,4.497476304408521,4.1491377090445525,3.463322412308691,3.557814053271241,3.5347590738248673,2.4322154386705273,1.9390229926023244,1.9538166920076498,2.1584256036648553,1.799551828425073,1.738668222598852
25%,16.911784084004555,17.46006399360023,17.322509301513897,17.322552385154015,17.032678962992634,15.088944976255148,14.794640237191794,11.647183200067158,12.045537792445558,9.99012562408043,7.150330439582897,7.518474922123277,5.384199016114867,5.614684661797017,4.744793207925351,4.5785867029967555,4.616228758032897,3.9593094025037114,2.795741859815637,2.4816362384221318,2.0544250303554055,2.5906780255779114,2.1758495162783484,2.4349632221199875
50%,17.11981638686781,17.87784270153766,17.62901579099144,17.711260605883155,17.431992833926465,15.90657385823732,16.33519451396591,13.675638912965791,13.373697318056859,10.605753862669374,7.755907897233966,9.154544600543108,6.8069733287092715,7.013351334112739,5.533051837692129,5.63915534663116,4.857164786973286,5.182577080733187,3.506312294845446,3.753491750900513,2.4441136775218353,2.9662508330778428,3.0734521357324085,2.6700488556914124
75%,17.367715933603577,18.310681702821327,18.042622013654604,18.1028670680704,17.599916543544275,17.511107356411497,17.121571336208667,14.864371859462967,15.605928743070157,11.421234726649336,8.732322630347927,10.268651877847514,10.624227567089427,7.808620161567772,6.395797641864911,6.212172628901341,7.269321468743733,7.770938780294939,5.133859362477887,5.309610516541055,3.8744167624097297,3.6694443949754043,3.6590552892669175,2.929162506568979
95%,17.74682230685001,18.79004086826197,18.5748429868349,18.723388932590197,18.390852757881408,18.108367663214164,17.338462435813238,16.396782055672695,16.588318984127206,12.149485529329665,12.729616162768705,12.384068676556796,14.325114914007433,13.69960915110702,13.12933506319089,11.701010774613117,9.418645851458178,12.653259371667923,6.0692460561754045,6.622577796078401,5.389673164434478,4.183601090272803,4.843465735870705,4.249401959835515
max,17.854616227420706,18.894515556090056,18.59866207767804,18.80620001260256,18.40245456836781,18.238466484083318,17.452958128307035,16.84163764432431,16.983683418686045,12.156957834644023,14.58691662685623,13.077828079946896,14.43030375260274,16.74067556300659,17.56995791482643,12.177981120872623,10.53116838027189,12.74668655350467,6.1416059063071415,7.175739070909599,6.00074510311518,4.438382453254164,4.858354797846659,4.399232704456114
