id_duration,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
id_timestep,0,0,0,0,0,0,0,0,0,1,1,1,2,2,3,3,4,4,4,5,5,5,5,5
id_group,288,289,290,291,292,293,294,295,296,297,298,299,300,301,302,303,304,305,306,307,308,309,310,311
duration_in_min,10,15,20,25,30,45,60,90,120,180,270,360,540,720,1080,1440,1800,2160,2880,4320,5760,7200,8640,10080
duration,10.0,15.0,20.0,25.0,30.0,45.0,1.0,1.5,2.0,3.0,4.5,6.0,9.0,12.0,18.0,24.0,30.0,36.0,48.0,72.0,96.0,120.0,144.0,168.0
units,min,min,min,min,min,min,hour,hour,hour,hour,hour,hour,hour,hour,hour,hour,hour,hour,hour,hour,hour,hour,hour,hour
time_step,5,5,5,5,5,5,5,5,5,15,15,15,30,30,60,60,120,120,120,180,180,180,180,180
depth,26.4,33.0,37.7,41.3,44.3,50.9,55.9,64.0,70.8,83.0,99.4,114.0,141.0,165.0,207.0,240.0,269.0,292.0,329.0,375.0,398.0,409.0,414.0,414.0
count,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
mean,18.531554300613124,18.88834799169146,18.681079285605314,18.560410020986083,18.142751976754347,17.317668865089015,16.4561209798525,14.730606908211277,14.818056867019928,12.140670376295278,11.811139979142688,11.103449846330838,10.242617527163034,12.325398746379998,8.886991052124309,9.7282390609657,6.619472057886654,8.625683246406094,6.486680753577234,5.4319553574654,4.839189770702335,4.3899246309158295,4.514163944514509,4.033796533030368
std,0.36359485622516846,0.3254077146010536,0.8096456599265113,0.6640837818947823,0.8656412421951534,0.7571811458542673,1.5589449277303482,2.625953551160384,2.6846674338504046,2.9256191214142255,3.0387955473173807,2.3153175126860805,3.4366117888343695,4.494125518386637,3.1285709718834327,2.804076419587002,3.2872759456554297,4.159072258136265,3.4688480722204744,2.471242418465415,4.240728594568597,3.8659271397261024,3.2865733958349215,2.6176582390632825
min,18.0758931608646,18.35509640746261,17.372551492219856,17.5738050143824,16.42464972651515,15.703752671375646,14.232639019371408,11.07034739337299,9.914473848221693,7.441308846703393,7.060850889099739,6.527735524817596,6.364266578754265,6.245891554263383,5.170024745379281,7.124450843258669,2.4950594799230474,2.4407730514495736,2.2682931884737654,2.325136101492126,1.5932868507639706,1.527039851288468,1.5308555302947469,2.0624894109823995
5%,18.079364859195845,18.426233346104954,17.618900231145883,17.668992335584953,16.887717721621947,16.148771068516496,14.32411108957061,11.122887035191333,10.461809977298818,8.215909668689713,7.075992540303256,7.85198274323049,6.872971096980065,6.8414102574195,5.420435506719355,7.269946822926263,2.7761936340956805,2.6606125557987026,2.7209510551244436,2.479920876714521,1.7917348243783917,1.667496837962736,1.5937402196125536,2.0734258702399666
25%,18.23127805838837,18.691022024312772,18.23419322011261,18.01944133094621,17.606358291909082,16.829383020235294,15.538822862872843,13.56039952924835,13.737550656454683,10.900134624152315,10.618112658037596,10.799655235431963,7.770888559782547,8.831541518491393,6.4583928031664986,7.757496933307411,4.660089232460884,6.162762444271175,3.7489729776180143,2.925700891731527,2.1226274733942665,2.174552576307803,2.4984291296704995,2.341976849077712
50%,18.54091978781608,18.84769629872472,18.56174659564686,18.70950115393191,18.15061932403475,17.58503162499778,16.485710391574955,14.587645826463035,15.695736064292891,11.576566914407575,11.921608883331853,11.182196368754784,9.143694294413663,11.926576440954166,8.661386372834752,8.8694725918882,5.787473900439567,9.255615092770636,5.9753161478163195,6.122831282726462,2.7439178440848666,2.5339483910292815,3.1287948851707443,3.0695556965928095
75%,18.845206353020217,19.145519549561033,19.25754682004283,18.880204971808837,18.843661542277307,17.809552590197445,17.449304313709966,16.171457865663747,15.94947378593613,13.253653678271272,13.690999790866124,11.53728294050827,12.279685672074358,14.671724626121854,10.421194698130362,10.500947295030986,8.105766676443372,11.05751011511452,8.381628809757522,7.498264120859993,5.837943636620522,5.275750951471143,6.457929462269282,4.260005222831591
95%,18.972644582924755,19.303182276966698,19.83586088960587,19.465956551713656,19.160023573490363,18.0848427893989,18.580477029485046,18.40063483877971,18.08226606267016,16.647511681037944,15.702143108323707,14.225914364072677,15.452780909128013,19.020815487343235,13.48023030428924,14.3952169842248,11.844981565741639,14.294106748814945,11.923504124741816,8.322898220087964,12.460397376888622,11.202994258923171,9.860246981569263,8.758732334917317
max,18.985558269676922,19.312838478939806,19.875295982612723,19.552148120468907,19.23692168321555,18.10489113778266,19.290040913844503,19.554898266306793,18.182817777405464,16.695670647973536,16.043058062633595,15.895630777366136,17.662422986232148,20.325231409890126,15.722070673669446,16.300256833257283,13.168926727516718,14.863873569040672,11.973268154216173,8.49906923685844,13.874327674590019,13.553151092200645,11.601083488638338,10.02892729516884
