id_duration,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
id_timestep,0,0,0,0,0,0,0,0,0,1,1,1,2,2,3,3,4,4,4,5,5,5,5,5
id_group,360,361,362,363,364,365,366,367,368,369,370,371,372,373,374,375,376,377,378,379,380,381,382,383
duration_in_min,10,15,20,25,30,45,60,90,120,180,270,360,540,720,1080,1440,1800,2160,2880,4320,5760,7200,8640,10080
duration,10.0,15.0,20.0,25.0,30.0,45.0,1.0,1.5,2.0,3.0,4.5,6.0,9.0,12.0,18.0,24.0,30.0,36.0,48.0,72.0,96.0,120.0,144.0,168.0
units,min,min,min,min,min,min,hour,hour,hour,hour,hour,hour,hour,hour,hour,hour,hour,hour,hour,hour,hour,hour,hour,hour
time_step,5,5,5,5,5,5,5,5,5,15,15,15,30,30,60,60,120,120,120,180,180,180,180,180
depth,35.8,44.7,51.2,56.1,60.2,69.4,76.3,87.4,96.9,114.0,136.0,157.0,194.0,228.0,287.0,336.0,393.0,434.0,488.0,537.0,557.0,566.0,573.0,578.0
count,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
mean,21.775988358325367,21.864780463020168,21.60051347416255,21.322414236785797,20.753577263866376,19.524881129123262,18.82602466486923,17.723361294435513,17.74310141371459,16.666937845796767,17.291581653506796,18.160946889770308,16.54995966500261,17.04780427566123,14.520592645787598,15.469702481693796,12.075241138236366,13.72917306643004,12.525066894551898,10.32111189668722,7.998141388910673,7.1427598459290405,7.858029126941842,7.499299191930231
std,0.5189434343100481,0.4553072079837402,1.154697655431906,1.0839660624876146,1.2452591600008502,1.041262646445851,1.713209521952141,2.440225833212818,2.3183617325245027,2.36585055948559,1.582815536222322,2.3954302776767045,3.3406943094845425,4.774530841424709,2.8966999789309513,2.5276660078017312,3.2260572099744365,4.22518181226977,3.704506388303593,3.3025024024834444,5.226285122948786,5.061603212510456,4.553845207225419,4.080066424573223
min,21.02580149670598,20.907574521655334,19.7683548984799,19.498106994727852,18.575029923799477,17.574936002556715,17.017455230909235,14.625826365027583,13.267156265678912,12.773411017141825,14.983825344581216,15.075176682881706,12.737045531663817,10.6783674411755,9.555052652491826,12.08659689703425,6.745210684446685,6.692945901899975,5.886406940349217,4.4309611432353195,2.2408234000002367,2.1238052484393624,2.1293894101722803,2.9243745551092086
5%,21.035073354354598,21.189786350062693,20.171632793193478,19.766028887576617,18.9034511905656,18.01830349988395,17.152309987450046,14.682253429200946,14.04915109602134,13.237601093188,15.024152012597105,15.475742476193385,12.964850533046542,11.139416267430384,10.851944994249605,12.592465312395472,7.465289647207406,6.734493086711518,7.682237124784881,5.708570830237996,2.799885186706832,2.3181784851394847,2.2164254572422015,3.2278416792940066
25%,21.50611004890424,21.654220608383802,20.793257730383857,20.623972143556863,20.046591142045635,18.705999073058855,17.492330255660875,16.676203777965917,17.002573983204194,15.258280697910028,16.154554487362383,16.379555241347184,13.601516116855874,12.817581299806466,12.622606249160581,13.412347414948155,10.821428925217527,11.948125846569228,10.439491862822456,8.186164651703802,4.211157622413149,3.4051208535416335,5.017844740256473,4.033120697079413
50%,21.725616937905404,21.911259519366673,21.413519728661356,21.528535468906405,20.774152308611946,19.826291052129946,18.40446873658997,17.65634156782079,18.09365264474345,16.686910237190762,17.67433633539519,17.931261242902675,16.09600540253576,17.575464462508428,14.433286514197043,15.481258333559673,11.543139401637987,15.20512793043904,11.913261112730973,10.479259664924989,6.753098441923001,6.119160875436541,7.0128797305700274,6.601917361784491
75%,22.226527934076845,22.177033895002232,22.504591263287306,21.830172987942873,21.856598812032345,20.235685018688166,19.792571386273245,18.508511101216037,18.41483890739702,18.292865087214082,18.240371413159274,19.11722434469283,18.830525093519245,20.02546123482546,16.054297219645967,16.692609780839902,13.755024742561874,16.5667626128927,15.90926664772717,12.71410760933146,10.12303681739495,9.46728645450304,11.153994143790422,10.351455312997242
95%,22.40118884125182,22.394057997519052,23.211105787840868,22.780988171592888,22.235294079930306,20.664871574694995,21.496586117519545,21.29395900951359,20.796588551365048,19.71832964739461,19.28978530744942,21.860131867407084,21.501965821230936,23.632236746328267,18.641896145261303,19.268664605202854,16.705783602500517,18.166836305619785,17.22994608227569,14.48171567990073,16.716648132771233,15.548682152531896,14.494753529132986,13.62944805091984
max,22.423582507561914,22.46565714960524,23.347213884143716,22.90597230402655,22.340531318037332,20.779806101653715,22.576508855375515,23.157297318739143,20.83702364732541,20.58476979134616,19.478881286457344,23.365093274784613,22.820775401407808,25.798732832264633,19.06562168790922,20.56099405453398,17.550576758355916,18.44961778352819,17.24263583394622,15.12529971332163,17.632057882003384,17.451251075636726,16.102986686287096,14.911439197900503
