id_duration,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
id_timestep,0,0,0,0,0,0,0,0,0,1,1,1,2,2,3,3,4,4,4,5,5,5,5,5
id_group,408,409,410,411,412,413,414,415,416,417,418,419,420,421,422,423,424,425,426,427,428,429,430,431
duration_in_min,10,15,20,25,30,45,60,90,120,180,270,360,540,720,1080,1440,1800,2160,2880,4320,5760,7200,8640,10080
duration,10.0,15.0,20.0,25.0,30.0,45.0,1.0,1.5,2.0,3.0,4.5,6.0,9.0,12.0,18.0,24.0,30.0,36.0,48.0,72.0,96.0,120.0,144.0,168.0
units,min,min,min,min,min,min,hour,hour,hour,hour,hour,hour,hour,hour,hour,hour,hour,hour,hour,hour,hour,hour,hour,hour
time_step,5,5,5,5,5,5,5,5,5,15,15,15,30,30,60,60,120,120,120,180,180,180,180,180
depth,42.2,52.8,60.4,66.3,71.1,82.0,90.2,103.0,114.0,134.0,160.0,184.0,228.0,268.0,338.0,396.0,474.0,529.0,594.0,642.0,656.0,662.0,668.0,677.0
count,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
mean,24.648711726504445,24.806151311899598,24.206225502173197,23.903651236524844,23.219812090698504,21.774295170682027,20.750022171843018,19.94366517458935,20.41459649655032,19.98736659777626,19.797561631119212,21.025085469564566,19.265923888409834,19.773922076418128,16.788642109505005,17.371499215414207,14.898426955616248,16.30801247685716,15.20256929985273,13.332154907764544,9.924215676376196,9.017317249247366,9.39037695034788,9.661331427133883
std,0.6039654809474139,0.5624995133776606,1.4349746262063043,1.3879007791198683,2.158069310678539,1.4526082672975404,2.4657262541265257,2.857052867763364,2.5153512153825353,2.4691590075420518,1.7444413400819905,2.5922805494819126,3.172189666700102,4.131132782792235,2.5770499290393234,2.2338249822650376,3.1401675445626127,3.4507794790730104,3.3001746776145486,3.4417859135216156,5.087434344332696,5.027361814256082,4.992398421897813,4.260426427539668
min,23.770383826922846,23.768631712134574,22.283363742785795,21.891462301590202,19.969042788933038,18.810008075264772,18.033286272281828,16.563470174276972,16.651715162765797,17.46869765125421,17.654613804572175,17.643606975771107,15.485859665138278,13.870668879849573,12.071499919556969,14.414736737224418,9.021878239634109,9.100051633690672,8.113619366362517,7.247327487231274,3.4994089312374896,2.488706357201728,2.487003949967561,4.21986592122128
5%,23.83321641379132,23.97434024085184,22.348499860801123,22.1631023346531,20.337997761587395,19.52259147712403,18.089415482732633,17.056396452140785,17.070166799997153,17.601958443196146,17.7032594231493,17.67110866277113,16.08907509868032,15.045939206193935,13.347532386790176,14.904903009522382,10.453348415429897,10.198739165114791,10.235811661822874,8.2784703887728,4.500560492477778,3.4188167618830803,2.7535479407065546,4.717816957966045
25%,24.32441346506763,24.42767681442022,23.30506644819434,22.893768547823257,21.745727603954577,21.115503168358998,18.886047409701025,17.992418327391608,18.095771544072857,17.938462833630798,18.295959483556423,20.03165529951215,17.4210866054895,17.442284946251696,15.398290441795158,16.06854402887205,13.507208184064826,15.913138223571174,13.438903541753778,10.84429870974345,6.011320938761786,5.889506479346677,6.030159936314367,6.160540929274029
50%,24.462488300052698,24.932249791870653,24.00036282630846,24.07034229343782,22.84775956772865,22.072234574377106,20.322078287802746,19.482436176459547,20.892619990388972,19.46061548953724,19.504892906480944,20.981864427020977,18.14084800684677,18.827349168743673,16.701960746222376,17.248536715519343,14.357937523584669,17.34377331477004,15.533988249918469,14.242069089667693,8.98652645278405,8.06489482089916,8.976594749604281,8.806333797691835
75%,25.23061372374532,25.269624316719728,25.542205433763986,24.435882935562695,25.253192295587112,22.616748932806523,22.249674755392206,21.29412251758205,22.311411825187292,21.629624468519044,21.42585246728582,21.40470790245946,21.39519679872427,22.403574936955863,17.582071506684517,17.865580289217977,17.123916207802814,18.00513044947042,18.08619925654677,15.961950744704742,12.522748329375741,11.776445860003708,13.296382928343464,12.986460377146516
95%,25.383148431013037,25.40108757074598,26.117135323167563,25.99396916102944,25.964099107600482,23.51924109023572,24.414999453831534,24.466077029199592,23.476883820618443,23.706663385867444,21.95012241403434,25.051574955104417,24.223184677707167,26.005748468095263,20.623597778002136,20.930947369756215,19.10240193417998,19.82981589214545,18.442473784512963,17.223733016770474,18.038607731013396,17.043527679469047,16.172446212255185,15.61978444476499
max,25.416353466675854,25.484315051155612,26.2156570464745,26.522698197004683,26.15561454237195,23.91806323001359,25.779924040218148,26.341108669088854,24.1878369033901,25.043505656578393,22.044949939910577,26.671747883412625,25.687257727080546,28.224086372473685,20.683594023855473,22.48538359199007,19.37081325455136,20.13850764866894,18.443385211911128,17.314467062426907,18.646712110433374,18.38565944798194,17.451361829499753,16.754754829437214
