Duration,units,Duration_in_min,freq_12EY,freq_6EY,freq_4EY,freq_3EY,freq_2EY,freq_63_2_perc,freq_50_perc,freq_0_5EY,freq_20_perc,freq_0_2EY,freq_10_perc,freq_5_perc,freq_2_perc,freq_1_perc,freq_1_in_200,freq_1_in_500,freq_1_in_1000,freq_1_in_2000
1.0,min,1.0,0.999,1.13,1.37,1.55,1.8,2.28,2.51,2.79,3.25,3.31,3.74,4.22,4.84,5.32,5.82,6.58,7.17,7.76
2.0,min,2.0,1.77,2.0,2.39,2.67,3.07,3.77,4.1,4.55,5.14,5.25,5.86,6.57,7.52,8.25,9.08,10.3,11.3,12.2
3.0,min,3.0,2.41,2.73,3.29,3.68,4.25,5.23,5.71,6.34,7.21,7.35,8.23,9.24,10.6,11.6,12.8,14.5,15.8,17.1
4.0,min,4.0,2.96,3.36,4.07,4.58,5.3,6.56,7.19,7.98,9.15,9.33,10.5,11.8,13.5,14.9,16.3,18.4,20.1,21.8
5.0,min,5.0,3.43,3.91,4.76,5.37,6.23,7.75,8.52,9.46,10.9,11.1,12.6,14.1,16.2,17.8,19.5,22.1,24.0,26.1
10.0,min,10.0,5.15,5.91,7.28,8.27,9.7,12.2,13.6,15.1,17.6,18.0,20.4,23.0,26.4,29.0,31.6,35.8,39.0,42.2
15.0,min,15.0,6.29,7.25,8.96,10.2,12.0,15.3,16.9,18.8,22.0,22.5,25.5,28.7,33.0,36.2,39.6,44.7,48.7,52.8
20.0,min,20.0,7.16,8.26,10.2,11.7,13.7,17.5,19.4,21.5,25.2,25.7,29.1,32.8,37.7,41.4,45.2,51.2,55.7,60.4
25.0,min,25.0,7.86,9.07,11.2,12.8,15.1,19.3,21.4,23.7,27.7,28.3,31.9,36.0,41.3,45.3,49.6,56.1,61.2,66.3
30.0,min,30.0,8.46,9.76,12.1,13.8,16.3,20.8,23.0,25.5,29.7,30.3,34.2,38.6,44.3,48.6,53.2,60.2,65.6,71.1
45.0,min,45.0,9.86,11.4,14.1,16.1,19.0,24.3,26.7,29.7,34.3,35.0,39.4,44.4,50.9,55.9,61.3,69.4,75.6,82.0
1.0,hour,60.0,10.9,12.6,15.6,17.8,21.0,27.0,29.5,32.8,37.7,38.5,43.3,48.7,55.9,61.5,67.4,76.3,83.2,90.2
1.5,hour,90.0,12.6,14.5,18.0,20.5,24.2,31.0,33.9,37.6,43.0,43.9,49.3,55.6,64.0,70.5,77.2,87.4,95.3,103.0
2.0,hour,120.0,13.9,16.0,19.8,22.6,26.8,34.3,37.5,41.6,47.5,48.4,54.4,61.4,70.8,78.2,85.6,96.9,106.0,114.0
3.0,hour,180.0,16.0,18.5,22.9,26.2,31.0,39.8,43.4,48.1,55.1,56.2,63.3,71.7,83.0,92.0,100.0,114.0,124.0,134.0
4.5,hour,270.0,18.4,21.3,26.5,30.4,36.0,46.4,50.7,56.3,64.9,66.2,75.0,85.3,99.4,111.0,121.0,136.0,148.0,160.0
6.0,hour,360.0,20.4,23.7,29.5,33.9,40.3,52.0,57.1,63.4,73.7,75.2,85.6,97.7,114.0,128.0,139.0,157.0,170.0,184.0
9.0,hour,540.0,23.6,27.5,34.5,39.7,47.4,61.5,68.0,75.5,89.2,91.0,104.0,120.0,141.0,158.0,172.0,194.0,211.0,228.0
12.0,hour,720.0,26.1,30.5,38.5,44.5,53.3,69.5,77.3,85.8,103.0,105.0,121.0,140.0,165.0,186.0,202.0,228.0,248.0,268.0
18.0,hour,1080.0,30.0,35.3,45.0,52.1,62.8,82.5,92.7,103.0,126.0,128.0,149.0,173.0,207.0,233.0,254.0,287.0,312.0,338.0
24.0,hour,1440.0,33.0,39.1,50.0,58.1,70.3,92.8,105.0,117.0,145.0,148.0,173.0,201.0,240.0,271.0,297.0,336.0,366.0,396.0
30.0,hour,1800.0,35.4,42.0,54.0,63.0,76.4,101.0,115.0,128.0,160.0,164.0,192.0,224.0,269.0,303.0,342.0,393.0,433.0,474.0
36.0,hour,2160.0,37.3,44.5,57.4,67.1,81.6,109.0,124.0,138.0,174.0,177.0,209.0,244.0,292.0,330.0,377.0,434.0,480.0,529.0
48.0,hour,2880.0,40.3,48.3,62.7,73.6,89.8,120.0,138.0,153.0,195.0,199.0,235.0,275.0,329.0,371.0,423.0,488.0,540.0,594.0
72.0,hour,4320.0,44.0,53.2,69.8,82.3,101.0,136.0,157.0,174.0,223.0,227.0,268.0,313.0,375.0,421.0,471.0,537.0,589.0,642.0
96.0,hour,5760.0,45.9,55.9,74.1,87.7,108.0,146.0,168.0,187.0,239.0,244.0,287.0,334.0,398.0,446.0,493.0,557.0,606.0,656.0
120.0,hour,7200.0,46.9,57.6,76.9,91.4,113.0,153.0,176.0,195.0,249.0,254.0,298.0,346.0,409.0,458.0,503.0,566.0,614.0,662.0
144.0,hour,8640.0,47.4,58.4,78.8,93.9,116.0,158.0,181.0,201.0,254.0,259.0,304.0,351.0,414.0,462.0,510.0,573.0,620.0,668.0
168.0,hour,10080.0,47.5,58.9,80.1,95.8,119.0,162.0,185.0,205.0,258.0,263.0,307.0,354.0,414.0,462.0,514.0,578.0,628.0,677.0
