Event_ID,Region,Region_source,Burst_Duration_in_min,Burst_Loading,Original_Burst_Depth_in_mm,AEP_Window,AEP_source_in_perc,Burst_Start_Date,Burst_End_Date,DB_Event_Reference_Number,DB_Pluviograph_Reference_Number,Offical_Gauge,Lat,Long
4380,East Coast (South),East Coast (South),10,1,15.5,frequent,14.4679,2009-03-25 17:45:00,2009-03-25 17:50:00,113650,1828,qcd_563064_233,-32.2375,150.6306
4382,East Coast (South),East Coast (South),10,1,18.8,frequent,14.4924,1999-12-28 17:05:00,1999-12-28 17:10:00,39777,517,qcd_061250,-32.6296,151.5919
4384,East Coast (South),East Coast (South),10,1,16.8,frequent,14.5144,2005-02-04 09:30:00,2005-02-04 09:35:00,42925,556,qcd_068102,-34.4869,150.4019
4385,East Coast (South),East Coast (South),10,2,18.5,frequent,15.6473,1999-03-27 22:30:00,1999-03-27 22:35:00,114063,1835,qcd_563079_231,-33.7944,150.5083
4386,East Coast (South),East Coast (South),10,2,11.0,frequent,47.6798,1993-04-28 14:05:00,1993-04-28 14:10:00,113366,1824,qcd_563056_231,-34.0333,150.2153
4387,East Coast (South),East Coast (South),10,2,10.0,frequent,52.1369,2007-05-03 09:35:00,2007-05-03 09:40:00,112822,1817,qcd_563048_231,-33.4333,150.05
4388,East Coast (South),East Coast (South),10,2,10.0,frequent,61.856,1993-12-26 13:45:00,1993-12-26 13:50:00,120789,1949,qcd_568168_233,-34.1235,150.7384
4389,East Coast (South),East Coast (South),10,3,22.6,frequent,14.4213,2001-11-26 19:10:00,2001-11-26 19:15:00,61080,960,qcd_203010_77,-28.7365,153.164
4390,East Coast (South),East Coast (South),10,3,18.5,frequent,14.4226,1998-12-14 17:00:00,1998-12-14 17:05:00,62833,1000,qcd_213005_77,-33.7982,150.9825
4391,East Coast (South),East Coast (South),10,3,18.41,frequent,40.3161,1973-03-07 14:30:00,1973-03-07 14:35:00,12454,493,qcd_059067,-30.3439,152.7128
4369,East Coast (South),East Coast (South),10,1,21.44,intermediate,14.4035,1979-12-21 19:35:00,1979-12-21 19:40:00,36083,476,qcd_058026,-28.4414,152.8296
4370,East Coast (South),East Coast (South),10,1,29.0,intermediate,4.6567,2008-12-10 15:50:00,2008-12-10 15:55:00,38062,497,qcd_060085,-31.3865,152.2482
4372,East Coast (South),East Coast (South),10,1,18.2,intermediate,10.8076,2003-12-05 13:55:00,2003-12-05 14:00:00,39020,506,qcd_061158,-32.5067,151.3779
4373,East Coast (South),East Coast (South),10,2,20.6,intermediate,7.5877,2010-07-01 12:55:00,2010-07-01 13:00:00,35740,471,qcd_057104,-31.2739,151.9655
4374,East Coast (South),East Coast (South),10,2,24.0,intermediate,4.9848,1994-12-06 13:30:00,1994-12-06 13:35:00,114850,1847,qcd_566037_233,-33.8085,151.0907
4375,East Coast (South),East Coast (South),10,3,26.51,intermediate,5.4868,1966-01-31 15:40:00,1966-01-31 15:45:00,36685,484,qcd_058116,-28.45,153.0
4376,East Coast (South),East Coast (South),10,3,22.91,intermediate,12.4842,1955-03-15 04:40:00,1955-03-15 04:45:00,38474,502,qcd_061078,-32.7932,151.8359
4377,East Coast (South),East Coast (South),10,3,21.69,intermediate,5.3205,1959-12-05 14:50:00,1959-12-05 14:55:00,39674,516,qcd_061240,-32.9667,151.1333
4378,East Coast (South),East Coast (South),10,1,22.0,intermediate,7.2234,2008-02-26 16:25:00,2008-02-26 16:30:00,117210,1888,qcd_567108_231,-33.3846,150.9867
